Reviewer,Title,Review,Rating
TC Yin,Excellent staff service,"I stayed at this hotel with family with my IHG points redemption. We chose this hotel due to its location, as it is superbly located near Somerset MRT station and Singapore's finest shopping malls. Upon check-in, it was clear that service is absolutely spot on - professional, efficient and courteous. Adding another feather to this hotel's bow is the size of its rooms. The connecting rooms that we got was one of the biggest rooms I have seen for a HIE (bigger than some HIs in Europe!). The clean and ample space came with courteous room service staff. Another pleasant surprise was that the breakfast menu varies throughout the week with local specialties. The staff managed to find seats for us even during its peak hours. Overall, this hotel is a credit to the IHG brand",5
Charly N,Perfect stay - excellent location & helpful staff,"Service was very good and overall very convenient - had a good time interacting with Mong Thuy. She is efficient and meets our needs. Always happy and smiling, really felt welcome during our stay at Singapore.",1
CCHSingapore,IHG Never Disappoints,"I highly commend on the great team work during the morning rush hour,ensuring hotel patrons get their seats, clearing the tables, serving them. Waitress Wang is so pleasant. Everyone served wtih a smile. I love the customer service of the staff. The hotel itself isn't so great but the service more than compensates for the buidling. As they say, people make the difference. And it was wonderful to see interacial and intercultural harmony within the staff. I saw Chinese, Malay, Burmese and Indian staff working well. Truly unity in diversity.",3
Been Around,Amazing Stay with Standout Team Members,"Stayed 1 month there. Served 2x SHN-stays (7 days qurantine, too) whilst my stay. Absolutely friendly, helpflu and very supportive staff. Whenwver there was need for assistance or requests, they managed to support absolutely well. Rooms are cosy and very comfortable as well as very clean. Location is just perfect next to Orchard road. Will definitely choose this hotel for any friends visiting me in SG.",1
Michaelsim S,Excellent Hotel with good location on Orchard Road.,"To be honest, I have never taken notice of this hotel till I stayed here. Located off the main road, I am quite thankful it is away from the hustle and bustle. In fact, it is an oasis of peace and quiet. Checking in was easy and efficient, and the process was completed in less than 10 minutes. I had asked weeks before my arrival if my bicycle can be placed in the storage room, and the hotel nicely obliged. Nurul, at the front desk, made me feel welcomed quite immediately. I was told that to beat the crowd, having breakfast before 8am would be best, and that was what I did the morning after. I was very happy with my assigned room. It had all the guestroom and bathroom amenities a guest would possibly need. Scan a QR code in the room and information ranging from food menu",5
Moe Thu Aung,The great hotel.,I would like to give the highest praise to the team here who went out of their way to address my needs during my stay. I would like to particularly highlight the efforts of Mr. Jan Faizal Abu Bakar who went above and beyond to make me feel like a valued guest and customer. In the last nine months I have stayed at ten different IHG properties. This experience is one that will standout. I shall be back!,5
alanthegreat,Spacious for a Holiday Inn,"I like the location because of luxury shopping malls are surrounding. Friendily Manager Mr. Tun Aung, sweet Reception, clean and wide dinning room with excellent food, standard beauitiful room with city view. The price is reasonable too. I hope to see you again Mr. Tun Aung. Thank you .",4
SOE E,Quanrantine 10 days with bad experiences,The hotel are clean room and great. Great hospitality and services. Staff there are always willing to help and especially their manager called Mr.Htun Aung at Holiday Inn Express Hotel at orchard road. Recommend this hotel 100%,5
Sirjit,"Great service, Comfortable rooms","The room is pretty spacious compared to other Holiday Inns I stayed. Simple but adequate. Room is well taken care of. Bed is definitely comfortable. I dislike the bathroom. The door either close for the shower area or the entire bathroom. If u close for the shower area, it means the toilet bowl area is exposed. If u close the entire bathroom, u gonna wet the entire toilet too. It just doesn't make sense. Also, the room is a bit too close to the office building opposite. I can see workers hustling at their desk. I'm not sure if I am motivating them or demoralising them by having a vacation on a weekday!",1
Sun,Quarantine Stay,"I am on doubt about the good comments from Trips apps. Below are experinces which i met on first and second day of quarantine. Days 1: Due quarantine 10days, we are arranged to holiday inn for SHN. On first day of check-in, I met a male chinese security staff here who spoke to me rudely and order me not to sit on the chair same row with my spouse (even with 1 m apart). Out of this, when I enquire on SHN information regarding optional dedicated facilities matter but he replied with he dont know what is that rudely which has made us feel uncomfortable. He even approached me for asking why i looked at him. Really like a gangster. Day2: call to receptionist to ask for more mineral water but she is telling me that singapore water is clean and mineral water is second option",4
Kayleigh,Great service!,"Was on QO for 7 nights but the staff (reception, security, housekeeping, F&B etc) provided such great service and were so accommodating to my needs. Really appreciate that they went out of their way to ensure my stay was as comfortable as it could be. The rooms are comfortable and everything was in working order. The meals were just fantastic- the staff allowed me to chose my cuisine everyday (just needed to give 24 hours notice) Thank you very much for making my stay so wonderful.",5
John Cover,Quarantine,"When we received the quarantine order, we were worried about which facility we would be staying in, especially regarding the cleanliness and food provided. It was a huge relief stepping into a clean, big and comfortable room which would be our home for the next 10 days. The room looked very new and was equipped with all necessary amenities and most importantly, fast Wi-Fi. Fortunately, our room was brightly lit so the sun could shine in at times. We were impressed with how tasty the meals were. We could see the effort put into preparing the meals and encouragement notes. Kudos to the chefs and staff! The hotel team was polite and friendly. They were very responsive, attending to our requests promptly and patiently. Thanks for making our quarantine stay a pleasant one.",1
AUNG,Quarantine,"The rooms are simply decorated but everything that i need is provided and it’s also very comfortable to stay in. The service staffs are all very friendly and patient, they are also highly efficient! The location is also very convenient, right in the centre of the city! Would recommend this hotel 👍🏽 P.S. They serve very yummy Chinese vegetarian food too!",3
Myo,quartine,"The services are excellent. Staff are really attentive and they immediately do what your request. Thumbs up!! Highly recommended. Food is ok. Room is comfy, room is clean and bed is soft. Only the pillow is not great. Small and not comfy",1
maria,Quarantine Order / Staycation,"I was so excited my quarantine Order at Holiday inn express Singapore Orchard, Location is great even I cannot go out, Excellent housekeeping service. Room is very clean and perfect amenities, fast Wi-Fi. Thank to HK manager Tun for assisting my quarantine period. I will back stay again when hotel is back to normal. Thank and stay safe everyone.",5
Norliza S,Holiday Inn,"I Staying 1501,the room is very clan and 0erfeet.great housekeeping serv8ce,especially thankful to housekeeping manager tun and team.see you again atay safe. Thank you everyone this is hotel Holiday inn express.",5
Muhammad Hamzah,Quarantine,"I was so frustrated receiving a quarantine order considering that it was the month-end, and I was buried up to my neck with lots of work to do. Adding the anxiety because I was a close contact was not helping. However, I was relieved as soon as I stepped out of the van and saw where I would be staying. I'm an IHG Rewards Club member so I knew service would be top-notch. The entire process was so efficient, thanks to the SG govt and all the staff throughout. Truthfully, I wasn't disappointed, room is impeccably clean. Could hoped for a better view though, but who would complain for a free ""staycation"". The staff are so patient handling my food requests and bringing deliveries promptly. The room is sound proof, water pressure is good, fast wifi, cable provided, great food.",4
Yu Ri,Quarantine Order,"Being in quarantine order is not a good moment when you have to stay whole day & night in the room . However , staying in Holiday Inn Express make you feel like home, comfy and cozy . The internet connection was fast and reliable . Able to do work and engage in TEAMS meeting without interruption. The food was nice & delicious . The front desk was courteous n extended your needs efficiently.",5
Angel,Commendable Service!,Servielce and receptionist is great . I donno what to write . More spaghetti please on my food . By far its great and nice hahahah nice and great . I think more movie i guess come on man you are great,1
Cy,Helpful staff,"I spend (10)days here and loved every relaxing moment.All the staff are so friendly & present especially housekeeping Htun Aung ,an the room was so quiet and away from activity. One of my favorite is have mirror in the room .The pool side service was amazing. Covid 19 protocols are followed.I'll stay here again I'm sure. From Quarantine Personnel",4
plimtc,Let down by consistently late meal deliveries,They give you an excellent service! Staffs are friendly and approachable. The ambiance of the hotel gives you “at home” feels. All facilities and rooms are clean. Will definitely be back and will surely recommend to my friends! Good Work!,5
Mark S,An Excellent Budget Hotel on Orchard Road,"I would like to thank the front desk duty manager, ms Nurul, & Sean for their great help, they r fast in response to my email request. N both of them personally help me to receive some stuff on behalf of 10 rooms, n help me sort out different stuff for different rooms.. all the way fm receiving items, TIL tagging those stuff, n even sending to room, ms Nurul take extra miles took photo n show me, double confirm the correct items wil go to correct rooms. This is very nice, my friends r all happy receive it. I wil recommend this place for foreigners as the staff r really helpful. I do hope the team wil stay positive, stay safe, during this pandemic.",1
Tourist667530,Great For Business and Shopaholic Travellers!,"Was assigned to serve my quarantine here for 14 days. Small but comfortable room. There are set meal times and the main let down was the consistently late delivery of the meals, at times up to 45 mins - 2, sometimes 3 out the 3 meals each day for the past 6 days so far have been late. Called the reception each time it was late and the replies were the same - it's on the way, coming up soon, sorry - will inform the manager etc. Can accept the occasional delay but every day for 6 days? Wonder if that will be the case for the remaining 8 days staying here. Being quarantined is already tough and to have this happening made it worse. Hope that the management can address this soon.",3
Mellieboo,LOVED every min of our stay. Will definitely come back,"Well, it's half a block off Orchard Road, but still excellent in every respect. We spent nearly a week there, during the Lunar New Year, using it as the base for our exploration of Singapore. Nice, large room, great breakfast, helpful and friendly staff, on-site DIY laundry...and an unbeatable location.",1
garygn,Terrific Hotel for it's price range and wonderful location,"Great location, few steps to Orchard Road where all the well known Shopping are around, especially Apple Store just right in front. Very convenient for business travellers and those who come Singapore just for shopping. Staffs are friendly and Room’s also nice.",5
KKb,Quiet nest behind the busy Orchard Road,"Clean, efficient, convenient and in such a good location. I've stayed in many Holiday Inns around the world and this tops my list. Very clean and nice rooms that are spacious and with good air-conditioning for hot Singapore. We did not want to leave. Conveniently located in Orchard room and within walking distance to all malls, nothing to complain about. When we had forgotten to remove the do not disturb sign to our room in the day, they manage to turn the room around when we went out to dinner. Superb service! Having laundry machine within the hotel is so convenient too. I have already recommended this hotel and will be back in Oct for my next stay! The only let down were two things; 1) i couldn't get my IHG points because the hotel was not booked through IHG directly, which",5
Singgih,Nice Hotel in a good location,"This hotel is GREAT. Staff were so nice and helpful. Location is just GREAT. Convenient to so many stores, restaurants, metro system. Very nice breakfast included. Room nice and bed very comfortable. Stayed there nights. Talked with many of the guests at breakfast while we were there, and everyone was pleased with their stay there. We will definitely stay at this Hotel again the next time we are in Singapore.",4
deedee88,Hidden Gem in Orchard area,"It is conveniently located for MRT Sommerset, buses to go around the city. Holiday inn express successfully maintain the level of services, the cleanliness, comfort. Salute with the non pork breakfast. Whatever your request even above 9pm they manage to serve promptly.",5
MrtnVgt,Best of it’s kind,"Stayed five nights in late January at this hotel. The reason for choosing this hotel for my short break is the ideal location, close to quite a number of shopping malls and within walking distance to Somerset and Orchard MRT Stations. Check in was swift, the room, while small is adequate. The bathroom set up is quite unusual in that the bathroom glass door serves as a shower stall door and the main privacy door. The hotel has no inhouse restaurant or laundry service. The coin operated washing machines on the fourth floor is provided for guest use. The Great Room next to the Check In reception only provides a simple breakfast in the morning. In summary, this is a fuss free hotel where everything is self service and nothing more. However due to its strategic location, I would",1
Max,Great stay with family,"We stayed here for 2 nights in the second week of January this year, as a family of 4 in 2 rooms. Hotel was very nice, nothing really to fault it. Staff were very nice and friendly, Housekeeping were very efficient in their job, lovely little buffet breakfast included. Rooms were a good size too and very nifty bathrooms with a most unusual shower! Step outside and you are facing the side of the Paragon Centre, which is just so central in Orchard Road. Would highly recommend and would definitely stay again.",4
Jabir Vakil,Value for money,"Probably the best hotel in this category I have ever staid at. That’s probably why it is so popular. It was busy at breakfast but the staff managed it all well. Tip! They have a nice gym at the 4th flour that is not listed. I found it when looking for the vending machine for a beer, which it did not have, but that is really the only remark I can make.",5
Vicky A,Ideal place for Business Travellers,"I recently had a long stay (7 nights) with this property. We are a family of 4 (2 children infant + 6 year old). The hotel is in a great location. We had many evenings and afternoons where we just walked out on to the heart of orchard road. It's close to the MRT as well. Now coming to the hotel itself. Very helpful staff - friendly too. We got an early check-in, no hassles. Breakfast was decent and the crew was always ready to help including tips and tricks of what to do in Singapore. The rooms are a bit tiny but the location and the hotel crew make it worthwhile.",1
Vira,Nice and Cosy,"Decent rooms, good amenities, amazing service, good spread of breakfast. Very much centrally located and close to almost all places in SG. Would definitely stay again if can book at similar rates, best amongst other hotels available at similar prices.",3
Jerry D,Short stay,"Located in the heart of Orchard Road, Holiday Inn Express Orchard is an ideal place for travellers. Walking distance to many outlets and malls and convenient to all type of visitors. Their Lobby Lounge is another place to have short business or friendly discussions in the evening coupled with fresh draught beer and other drinks",1
John,Continues to surpass expectations,The hotel staff was very accommodating right from the front desk to the housekeeper. The room was very nice and clean. The breakfast spread was excellent. I guess that is why there was not enough place to sit during breakfast. I would definitely stay here again. Thank you Holiday Inn Express,5
newtravelleridn,hotel at the heart of singapore,Had an overnight stay. Went to a different Holiday Inn about a 10 min walk from this one. Room was small but clean. Bed was ok and shower hot. Only 2 creamers provided for 4 coffee packs. Very close to the Orchard MRT Station.,5
Charles Penafort,Holiday Inn Express Orchard Road - Experience 7 Star Service,"Such a great hotel in the thick of Orchard. Customer service at this hotel is second to none. Reception, catering, cleaning and.front door staff are all extremely professional and go the extra mile. Our 20th visit to this hotel. Absolutely great value for money.",4
KiwiViajero,Exceeded our expectations,"the hotel is located in the heart of the city. very near to the orchard rd, you can reach all shopping mall at a walking distance (takasimaya, lucky plaza, wisma atria etc). it has a free complimentary breakfast which is very good consider the location and the price paid. the room is very small though, if you travelling with children i don't recommend this hotel. hotel is good for couple or single on a business trip.",5
Michelle A,Perfect for all travellers,"Offering a 7 Star Service at an extremely reasonable price. That's the experience that Ms Ng Su Han and her team will accord you when if you select to stay at the Holiday Inn Express just off Orchard Road. The location is extremely conveninent being on Orchard Road and just across the road from Paragon...one of the best upmarket shopping malls in Singapore....if not the best. And the hotel itself has a fresh neat design which by design facilitates simplicity and efficiency. The staff are quick, friendly and courteous. In fact...it is impossible to fault them on any category ! Highly recommended if you prefer to stay right smack where the action is in Spore...at the most reasonable price...where no one can beat you on value for money !",1
Rachel_Intl_Foodie,Needs better insulation,"We stayed here for one night in December 2019. We took a taxi from the airport, which cost 22 Singapore dollars, while the return taxi cost 19 Singapore dollars. The hotel is extremely well located about 15 seconds' walk from all the shops and restaurants on Orchard Road. Despite that, the hotel was very quiet. The service at the check-in reception was very friendly. Also when we were having breakfast one of the chefs passed by and asked if everything was ok, where we were from etc, and wished us a good day. The breakfast buffet was very good with an adequate selection of Asian and non-Asian dishes. The room was fairly large with all the amenities and the wifi worked well. The only area where this hotel needs improvement is the fact that the bathroom is enclosed in",4
garutma,Enjoyable Stay,"I stay at Holiday Inn Express Orchard every year with large groups of students and parents. The hotel staff are amazing and accommodate all our needs, including early breakfasts and speedy check in. The location is perfect - malls with great food and shopping right outside the hotel. Hotel will quickly get you a taxi or help you get to wherever you need to go. Couldn't ask for better service. Would recommend this to anyone travelling to Singapore and you want to be right in the heart of great shopping.",5
Wandering_Gal2013,Lovely Stay 2nd Time Around,"The hotel is well located for a shopping trip to Singapore, as it is just off of Orchard Road, where most of the shopping malls are located. It is clean, the staff are friendly, and the price isn't terrible, though we thought it was overpriced for what we got. We had two issues that made the hotel just average for us though. The first is the size of the bed. If it was a queen bed, as advertised, it is the smallest queen I've ever seen. My husband is quite tall (1 meter 88 or 6 foot 3 inches) and he barely fit length-wise and between his shoulders and my belly (7 months pregnant), we just fit width wise. We have a queen sized bed at home and we fit in it much better than we did this bed. The second and much more irritating feature of the room was the poor insulation",1
MISSAdventurers,Loved it,"Smooth check-in, friendly staffs, great location, very clean and comfortable room, had a very good sleep. Breakfast was great. I shall definitely be back to stay and recommend to friends and family. I couldn't fault anything about this hotel.",3
voyager8888,Excellent hotel,"We came back to stay at this lovely hotel in Orchard. It was lovely to come back to it the 2nd time around. Surprised that they knew it's our 2nd time around coming back to stay with them. We had some welcome refreshment drinks and the rooms were up to standard of cleanliness. Big thanks to Najeeb Kurungottu, General Manager for his personalized welcome letter and to Lisa who was assigned as the housekeeper in our rooms. Keep up the good work.",1
nick_ng,another delightful stay,"I can’t fault anything about this hotel. Friendly staff, great location, clean and good value. Rooms are compact, but comfortable. The pool on the rooftop is lovely - ideal for cooling off in. Breakfast is busy, but plenty of selection and tables cleared quickly. I would not hesitate recommending this hotel when staying over in Singapore. They’ve got it just right.",5
Juzmin,Splendid hotel in orchard rd,"I have been very impressed with the hotel where our family stayed last week. We go almost every year to Singapore and it is one of the best located hotel on Orchard road. It is right in the centre of Orchard road and very convenient for shopping. We used to stay in hotels further up Orchard road but they were quite far at the end of the road. The room was a bit small but very nice and clean. There is a complimentary breakfast and it gives a good variety of food. The attendants at breakfast are also very efficient and friendly. The staff was very friendly, efficient and helpful. We booked the room for 8 nights well in advance and asked for an early check in whuch was not guaranteed and we were delighted to get the room at 9 am. That was fantastic after the long flight hours.",5
Heren SG,Good hotel next to shopping areas,Stayed here again for a few days last week and everything was as good as I expected from my previous stay here. Nice to know that the good standards are being maintained. Orchard Road is lit for the year-end holiday season and it's only a 30-second walk from the hotel to admire the bright lights.,4
BobM08,Comfortable and convenient location,"We stayed 3rooms 8person. Not closed to subway but in center of orchard rd. Dinner not so much choice and price is very high. Breakfast is crowded, seats are not enough. Buffet line is fine and food fill up all the times. Has grab n go corner for bakery and fruits and coffee.",5
Harold G,Awsome experienced,"Perfect location, walking distance to the malls. Close to Orchad road but far enough in case you need to take a taxi to go out. Room was ok, big enough. Friendly stuff. Complimentary breakfast included.",1
Chee Lim W,Centrally located and value for money,"We stayed here for a couple of days during a short visit. This is not the best place for a quiet and relaxed holiday, as it was bustling with families on holiday and young visiting business people. But it was good value for money, with functional guest rooms, a decent breakfast spread and great location. Service was friendly, from check-in to check-out. The hotel has very convenient access to some of the best malls around Orchard Road, i.e. Paragon, Mandarin Gallery, Takashimaya, Wisma Atria and Ion, and even Wheelock Place with a hidden gem of a restaurant which we stumbled upon during our stay (see separate review on Pistachio Mediterranean Grill!). It was a short walk too to the MRT stations of Orchard and Somerset, and the bus stop across from the Mandarin.",4
EG233,"Good value, great service","Location is exelent,you have almost in front a mall,mrt station is close to the hortel.people from the hotel were exelent,friendly and profesional.room clean snd confortable space.bed confy.the breakfast is good.the only missing this hotel is a swimming pool",5
Angelo,Excellent location,"It is always our go-to hotel whenever we visit Singapore. Given that it is located right in Orchard, the price of the rooms are reasonable. It averages at SGD230 per room per night (including tax). The room comes with complimentary breakfast and complimentary drinks as well. Breakfast has a good spread too and it is open until 11am! So great for those who wake up late. The toilet is a little small and it shares door with the shower. Thats the only downside. Otherwise, the room size is good!",1
jaimepage77,Great Hotel Great Location,"We stayed at this establishment from 01 November to 04 November 2019. We were given a room on 15th floor, so it was the second highest floor for this hotel. From the moment we checked in, the service has been great. Free bottle of water was provided by the room service. Also, when the chambermaid, Kelly, cleaned the room, it was done very efficiently. It was not our first time we stayed at this hotel, and it never fails to please us. No need to mention about the location as it's only, literally, a stone throw away from Orchard Road. Breakfast is included in the rate, and it can get very busy past 7:30am, but the hotel replenish the food fairly quickly. The only not so good experience we had was with the washing machines as both of them broke down when we were there. However, the",3
Ron,"Excellent hotel, lovely staff","excellent location , right behind the flagship Apple store in orchard , it serves good breakfast buffet , plenty of choices . We stayed on the 16th floor , very quiet and clean , if there is only a drawback , then it should it be the lobby and reception area , it can be a bit noisy and cramp during certain hours of day ( check in and check out time ) , otherwise I would be coming back to stay at this hotel",1
Flofif,"Excellent, the most recommended hotel in spore","I would recommend this hotel and look forward to going back for a second bite. Location was brill, rooms were lovely, the staff were awesome, the breakfast was perfect, and it was reasonably priced. Getting around was a breeze, with fairly easy access to Somerset MRT, though it is a bit of a rabbit hole in finding your way in and out! Shopaholics, shopping is literally on your doorstep. Have fun!",5
Ninie,Good location & great service,"Enjoyed my stay here very much. Nice, comfortable rooms. Handy to many dinning places and 2 MRT stations. Staff are just wonderful especially Wang and Siti who are in the restaurant during breakfast. Very friendly and give you loads of tips. Thank you for a great stay. Will be back hopefully next year.",5
Werner D,Express,"I've been travelling to singapore so many time. And this is the best hotel ive been staying so far. Located in the heart of the famous orchard boulevard just behind the apple store building. The room was clean, the housekeeping clean the room everyday clearly. The front desk staff was friendly & helpfull. The bed was comfy with firm & soft pillows. The safe deposit box & refrigerator was also provided. For moslem, this hotel is very moslem-tourist-friendly. The hotel provide us with halal certified food in breakfast buffet. There is also qibla sign in the room. The toilet equipped with bidet shower. Just in front of the hotel is Al Falah mosque. I do recommend this hotel to stay in singapore.",4
Daniele A,nothing special,Location is great walking distant to shopping centers. Very impress with maid service on the first day. She really help me tidy up my messy stuff because I had to hurry for work. So once back to the room it is ready for me rest. Also even the breakfast is not much choices but flexiblity for grab and go is actually work well for me. I had nice 10 days stay here.,5
Scott W,Best location,Good location for quick access to orchard road and city access. Breakfast quiete poor But ok for a quick start. Rooms tidy and big enough. A good recommendation for a short trip. Small food arrangements all day,1
Sofia L,Excellent hotel!,"A normal hotel, not too clean and a little old. The air condition is always hight in every common place and in the room you can her the noise of the air conditioner all night long. The brakfast has nothinhg special to offer. The cost is normal as well.",4
shanelle182,World class service only Singapore can deliver,"We are staying here for 6 nights for the Singapore GP. We normally stay at much more luxurious hotels, so while this is not a 5 star hotel by any means it great for a number of reasons: 1. Amazing location, right behind Apple store (50m walk from Orchard rd). Also only a short 5 minute walk to Somerset train station. Also there's a great supermarket bottom level at Paragon shopping centre which is only 200m away if you want food, drinks, etc. 2. Beds are very comfortable (queen size) 3. Rooms are quiet (we stayed on level 6 and had no noise) 4. Breakfast was good. Not huge by any means but a good variety to choose from. 5. Price was fantastic especially for location and during GP Note this hotel doesn't have a pool if you are after a hotel with one. 110% would stay here",5
Connector757157,good express,"Our experience at this hotel was awesome. It deserves all the good reviews. As soon as you check in until you check out the staff was very polite and extremely helpful in every way possible. The breakfast room and kitchen staff were also excellent. Everything was clean and tasteful. The menu varied every morning with delicious dishes. The room was very clean and the cleaning staff was very attentive to our needs. This hotel was very close to everything: malls, restaurants, metro, etc. You cannot ask for anything better. So glad we stayed here on our first trip to Singapore! We'll definitely stay there again!",1
babahadi,Extremely Average,"The staff here are impeccable & always try to do their best by the customer. Conveniently located right on Orchard st walking distance from Takashimaya mall and right next to Paragon mall. Its comfortable and super clean, totally recommend for a quick stay for shopping in Singapore!",3
ruchac2017,Fantastic location,"The hotel is within 3 min walk from the busy Orchard Road malls, restaurants, food courts and retail stores. Room is middle size and bathroom is clean. There is an unique phone on the desk ( not own by HI) but someone else. This is like a cell phone and you can take with you when you move around the city. You can make free local or international calls, but people can't call you back. Good when you don't have local sim card for local calls. A lot more features but I have no time to explore more.You can check out locals restaurants and store, but it stated that they collect all your datas. Breakfast is fair, but staff are very courteous and a rather big lobby for an Express.",1
GMU,Good Budget hotel in the centre of Orchard Rd,"Extremely average service. Great location to get around the shopping area and access to the MRT. The rooms have a very small bathroom, uncomfortable beds and you can hear your neighbours in the other rooms. Average staff service.",5
