Reviewer,Title,Review,Rating
susan,"Excellent location, comfortable stay","We were so excited to find such a seemingly nice hotel bailable for a “last minute” booking. We called to insure an early check-in due to our flight arrival being in the morning. We were told we could check in at 11:00. At 11:00 we were told 1:00, then at 1:00 we were told 3:00. We got to the hotel at 2:30 and were told that a room was available and it was an “upgrade”. We paid for a king room with room for a fold out or pack-n-play. The room we were given (704) was extremely tiny, no room for any additional bed, and the window was smaller than a jail cell. Attaching a photo of our “upgraded king bed”, that was 2 twin beds pushed together. There was no breakfast available, the water machine on the floor didn’t work, and we weren’t provided any of the requests we asked for.",3
Hey_girl_hey86,Location!,The hotel is very well situated for a trip to Chicago. Breakfast included shouldn’t be booked. It is not worth it. It is a hassel with the vouchers (usd 25) and fairly expensive for the choice and service you get.,2
Pete S,Location,"When visiting a City you are unfamilliar with it can be hard to trade off price against quality when you know very little about the neighbourhoods etc... we struck very lucky with the Riverside as the price was very reasonable and the location perfect. A 5 or 10 min stroll from Clark on the Blue CTA line the Riverside is located (as the name implies) on the riverside - when you walk out of the front door the view is a real wow.... its within walking distance everything downtown. The location really is spot on. Check in is supposedly carried out via terminals in the lobby, but one of the friendly folks went through it with us. The Building is historic - with a genuine historic feel to it in the entranceway - which could mean dated I guess - but there is absolutley",1
Michele R,Stay away. Overpriced for what you get,"River Hotel is in an excellent location for downtown and all its attractions. Our room was quiet, clean and comfortable. We appreciated the free laundry, the gym and the club room for relaxing during the day. The only thing that could have been improved was the room decor which was dated and a bit gloomy.",3
Paulade,"Location, location !!!",We stayed here for Monsta X concert at the Chicago Theatre. The location of this hotel was absolutely perfect. It’s right in the middle of everything you could need. We parked about 3 blocks away and never needed to drive the entire 4 day stay. Food-entertainment-parks-Navy Pier- you name it. It was absolutely the best place for the money. Surprisingly quiet at night too! We didn’t hear a thing from neighbors or outside.,4
Alexandra S,Ronnie and the QR code,"Great location if interested in Mag Mile and Loop. Available river view rooms. Hotel staff is friendly, welcoming, and accommodating. Check in is easy with Club Quarter App. Easy check out as well. Close to great restaurants and activities. Highly recommended for great value.",5
maumaujr,Location versus price,One of the ugliest hotels I've ever stayed in. The price is absolutely not justified. Breakfast was not available and we were given vouchers for the restaurant next door which weren't enough. The safe was missing. Ugly room with an old bathroom with shower with plastic curtain and no shower gel. No room cleaning service (unacceptable). We asked for two separate beds and they gave us a normal bed and a sofa bed with a mattress full of humps where it was not possible to sleep. Stay away,3
04Stephanie2022,Good hotel for short trip,Hotel is in a great location !! Set on the south bank of the river it’s in the perfect place to explore the north side or the south side !! The room we had was really small with a window (but no view) If the price is really good then it’s a good option !!,3
melodiegarrett,Perfect Location,"Ideal location. Dream view. Comfortable and spacious rooms. I'm not sure that the outsourced breakfast orderable from a QR code and delivered to your room is progress, especially when it is over 30mn late. But this was compensated by ""smooth groove"", jiving Ronnie's warm welcome. He greets you with a smile, a joke, a song, and has solution for everything in ""less than one minute"". It was lovely being greeted in the evening on my way in to the hotel by ""Welcome back, Milady!"" In these days of QR codes, this quality of human service is greatly appreciated.",5
Johan F,"Perfect location, value for money",The best location in Chicago for a very low price... In front of Trump Tower. Close to a lot of atractions! We do almost everything on foot. The best choice at the Loop. Everything was grade 10 (from 0 to 10)!,5
kellygumps1975,Great hotel great price,I came here for a weekend birthday trip. Room wasn’t the biggest but for only two people it got the job done. We spent about 4 hours a day (aside from sleeping) in there and it didn’t feel cramped at all.,3
TravelingWithJ,Quaint hotel in the heart of Chicago,"The location if this hotel is wonderful. Easy access to the many sites to see. The hotel staff was VERY accommodating and helpful. This may be an older hotel compared to most and we did have some trouble with our room, but we were moved to a different room.",2
craol02,Great hotel,Excellent location at the river. Close to magnificent mile and the loop. Room well appointed and clean. Somewhat low pressure in the shower. No cleaning on daily basis due to Covid regulations. Self check-in very simple and quick. Recommended.,1
asalgad01979,Cozy and luxurious.,This was an amazing hotel for the price. Very comfortable beds and pillows(with back issues this is HUGE) there is no resturant but a great roof top right next door. Very clean and easy to navigate. Just remember there is an amazing river view(friends had that room we had city view) so ask for the river rooms 604 for sure had a great view! City view was good also but I went for the green river! Thank goodness friends got the river view so we could see it from above,3
juancovault,The River Hotel,"Stayed 2 days for a conference. Historic building conversion with great access to Michigan Ave. Quiet, updated room, comfortable bed and PILLOWS. Easy app check-in, good WiFi, and chilled purified water on the floor was a plus. Would stay again without hesitation.",4
r0nyd0s02003,Good location and facilities,The staff was phenomenal. The room superseded my expectations. It was amazing. Only issue I would say is the beds are very firm and was a bit uncomfortable for my husband and I. Everything else was fantastic.,5
Kara H,Great value,"Room was cozy, clean and stocked. Staff was polite, welcoming and knowledgeable. I can't wait to go back. Fitness gym, coffee in the rooms, coffee in club living room. Bottled water accessible on every floor as well as ice. It was great.",3
Madaline P,Pictures on line do not reflect realty,"It has a beautiful view. The room was small, but clean. They offer coffee and other drinks free of charge on 2nd. floor. The staff were nice! I just wish the bathroom was better. However, it was clean.",3
Lissie,Coming Back!,"In the downtown center where you can walk to many landmark. Water station at every floor, guest laundry is free. Elevator were old and sometimes problem happened, hope can be maintained better. Parking always an issue in downtown... Can be very expensive, get ready to walk further to get a cheaper parking slot",5
Kimjbaumann,"Great location, attentive staff","The River Hotel is located in a great spot and it’s very easy to walk to popular areas like the Bean, Magnificent Mile, and a lot of shops/restaurants. The price was great for the location. The staff were friendly and the rooms were clean. Would definitely stay here again.",5
tcmalsch,Great location,"Check in/check out-staff didn't offer up any information about the hotel and its amenities. We had to change our room to a larger room last minute to add our son but was never told that we would be charged extra for an additional person in a larger room that was supposed to accommodate 3 people. The pull out bed had no blankets, called for a blanket, waited an hour then went down to the front desk to ask about the blanket in person since we were ready to go to sleep. The pillows were hard as rocks. There was no light in the area of the room where the pull out bed was. I moved one of the lamps by our bed to the pullout bed area and noticed the lamp shade was broken and the screw that holds the shade on was gone. When opening the door to our room, we were on the 9th floor room",3
yagalina57,Great location,"I will like to start by saying that I can't wait to go back! Chicago is my only favorite city in the USA. The view to the river was amazing! Location was an A+ being close to most attractions at walking distance. A 7 eleven around the corner was convienient as well. The check-in was easy through a kiosk and if any issues, they are right there to help you. If you park at 20 E Randolph St. self-parking, the hotel will give you a discount and you pay only $25 for 24hrs. For me, that is a good deal for being parked right in the city. This parking lot is a 6 minute walk from hotel. The hotel and parking lot is a short walking distance to Boat tours, River walk and rest. (accross the street) Nutella, Cloud Gate and other attractions. The hotel was bulit in 1928 and you can tell buy",2
chicagoans,Great Stay Near River!,"We found this hotel to be perfect for our needs, with a central location near Riverwalk, Michigan Avenue, and many restaurants. All the staff was helpful as needed. Only complaint would be that the sofa bed in our room was not adequate for sleeping, was fine as a sofa.",1
GDSM2016,Avoid it!!,"Enjoyed our view and location. We were next door to London house and across street of Trump building! Within walking distance of Millenium park, art museum, state street shopping, Michigan avenue. Rooms were spacious, with micro and small refrigerator. Lobby was clean and front desk very helpful. Price was very reasonable!",3
Pennie41,The rooms,"We enjoyed our stay in a room with a great river view. We booked a Superior Queen room and it included a kitchenette (mini fridge, microwave and a coffee machine) and a sofa and was spacious The shower has a flexible hose which I like better than what most US hotels.have. We liked that the hotel has water station with refillable bottles on each floor - kudos to the hotel for being environmentally friendly The location is great - close to the Riverwalk, the lake and Millennium park. Also the staff is professional, helpful and friendly. Good value for money.",4
Tania M,Great location!,"We stayed at the River Hotel after a wedding, and before the Chicago Triathlon. The front desk staff was very accommodating and friendly. They were flexible with our checkout time after the race, and very nice about checking our bags after that. They even let us check a bike :) I would definitely stay here again!",5
Beauregard70,Made Our Trip to Chicago,"Avoid this hotel at any cost!!! Even though it looks clean and it’s location is superb, THEY DONT CLEAN THE ROOMS. We needed to clean ourselves. The excuse? The pandemic. Pandemic is no excuse for being filthy. Personnel is very friendly though. Anyway, I’m not staying here anymore and I recommend anyone not to as well.",3
Gina M.,Enjoyed our stay,"This hotel allowed dogs, which was not a bad thing. However, my room has a dried urine spot on the floor. I was told (at check-in) that housekeeping doesn't go into every room and that if my room needed anything to call and let them know. The carpet in the rooms need to be cleaned after a family leaves that has a dog.",3
Heather F,"2 star quality, 4 star price.",Great location for an affordable price. Excellent customer service and fast check in and check out. We had an amazing view from our room to the river. Parking available with valet parking service few blocks away. We will stay at The River hotel again for sure!,5
paulgeldridge,Nice,"This was a 3 day / 2 night father/son trip to Chicago. The location was perfect, the facilities were absolutely awesome, and the staff was over the top helpful and friendly. We asked lots of silly tourist questions and they patiently answered all of our questions with a smile. Thank you so much, River Hotel! We will absolutely be back and we will absolutely recommend you!",5
aprilm1232021,Excellent Choice for Your Stay,"Loved the location! The close proximity to trains, River walk, parks, Lake Michigan, museums, restaurants, and shopping made it very easy to see and do everything on our list and more! The complimentary water filling stations are a nice touch and helped us stay hydrated during the week. We also enjoyed the other amenities like the gym, free laundry and espresso machines. On the down side, our room was very small (hubby had to turn sideways to get around the bed it’s so close to wall) and bed was a full sized mattress, not a queen as advertised. this took a little getting used to since my husband and I are both on the taller and bigger side. Bed was not the most comfortable and pillows were too firm for my own personal taste. Most of the hotel staff we interacted with were",3
yourcakequeen,Great place to stay.,"I don’t normally leave negative reviews; but for what I paid for this room, I felt very ripped off. The bed felt like I was sleeping on a piece of plywood held up by springs. The room was tiny with a tiny window. There were greasy fingerprints all over high contact areas. There was a stain on the carpet that my son kept referring to as “the poopy stain” which looked accurate. Old musty looking shower curtain, rust on towel holders. Just overall not the experience I was expecting for the price.",2
Anne S,"Make sure everything works, and if you need something just ask.","We enjoyed the hotel, the location was convenient. Access to everything we were interested in doing was great. The views of Chicago were good. We would stay here again if need be. We would recommend this hotel to others.",1
Mitchell F,Extremely Disappointed!!,This property was an excellent choice for our first trip to Chicago! The centralized location is within walking distance to most places/attractions and also close to train and bus stops. The view from our room was great and the hotel staff were very friendly and helpful with anything we needed. We will most definitely be back to the River Hotel in the future.,3
Jasmine G,TOP TIER,Everyone was so nice and friendly. It was in a great location. The bed was ok. The pillow was a little to firm for me but overall the room was nice. I liked that they had water that you could put in bottles to take with you.,4
Journey458289,Great hotel,"I've stayed here before. And the cleanliness, area, and location keep me coming back. BUT I feel in time certain things in the room need to be fixed or replaced. Plus you have to ask for everything in room room, like iron, ironing board, kitchenware utensils, which is fine, but takes a while sometimes. The TV remotes only worked sometimes. I was able to sign into Netflix, but unable to sign out. And all the outlets in my headboard and night stand were not working. Uploading the app was pointless because it asks for a reservation code, a confirmation code, and I just wound up going to one of the kiosks upon arrival anyways.",5
morganaromanowski,"Great hotel, wonderful front desk staff",We paid over $200 for a room at this “beautiful” hotel. We got to our room and there were NO WINDOWS. We were on the 10th floor. We felt like we slept in a basement. There was also no mini fridge so our food went to waste. We called and asked if we could upgrade and they said there were no rooms available. But all of the other rooms on our floor had no occupancy all night?? Absolute waste of money.,3
sarahE6579EM,Good for the money,"I am an extremely picky person and I LOVED this hotel! If you have a family you wont regret staying here I promise! Best hotel I have ever stayed in by far. They make everything convenient for you, the check in is a breeze (you can check in from your phone), the hotel is separated by two sides which makes elevators quick and not crowded and they're room key operated so you don't have to worry about a bunch of random people running the floors of your hotel. They have water stations with purified water on each floor and offer new clean water bottles for you to fill up. Also whenever you need room service you can simply send a text message and they will bring whatever you need to your room, you never have to go to the front desk. The bedding is luxury and the most comfortable I",3
hend0428,parking garage/outdate rooms,"Overall we had a great stay. HVAC was a little noisy (rattling sound) in one of our two rooms, but that's the only complaint. I didn't bring it up to the staff, though. Staff was super friendly and helpful, location is great. Everything seemed very clean.",5
Kathy F,River Hotel in 2021,"We will be back! Got our room with a view like we asked for which we really appreciated. Had an issue with my card declining upon check in because I forgot to raise my daily limit, the guy at the front desk was VERY helpful and kind with the whole thing. View was amazing. We loved it all",5
teskridge64,Review of River Hotel,"Overall this was a good stay! the location and staff were awesome. The rooms just felt dirty with stained sheets and the corner of the room had a very dirty wall and floor. You can’t beat the price for this location, we were able to walk all over and I felt very safe in the hotel.",3
413aubrey,Good stay,"AC didn't work, light was out in bathroom. Rooms are very outdated and you pay a premium for that. We had parking included/booked directly with hotel and Bell Staff told us the wrong parking address so we got an unexpected $150 charge. When we told the manager this upon check out, I was told we should have checked in with the front desk. I guess it was our fault the bell staff didn't give the correct information out.",2
rsamuelson79,Great Price and Location,"We visited River Hotel during the week of May 17th, 2021 and were very impressed with their COVID protocols. They have taken every precaution to make their patrons' stay as safe as possible while also having an amazing stay. Upon our arrival, we were greeted by Danny who helped us with registration. He was extremely helpful and courteous. He made sure to give us a room with a view of the Chicago River and answered all our questions during our stay. Our room location was quiet the our entire stay. We truly appreciated his hospitality along with the rest of the staff. A big plus is that he is bilingual in Spanish so we got to practice with him. We look forward to a future stay at the River Hotel and hope to have Danny be there to welcome us!",1
abdulmajid247,No nearby parking. Parking price per night is ver much,"This hotel was a great value. The location/view was amazing. The staff had over the top customer service. I have never been treated better at a hotel. Our stay was during COVID so some of the amenities were not available, but that was understandable.",3
lawrencebooth122,Amazing,"The two bed suite with kitchenette was perfect for our one night stay, close walk to the loop, and all downtown areas. Overall a great stay and will return in the future. Only complaint is the thermostat in the room did not work well and was very hot and stuffy and night",4
harper0409,Decent not Special Stay,The hotel was great! Check in was very easy and the valet service was great. The front desk representatives were kind and helpful! The hotel room was clean and a comfortable size. The location is great for the river walk and getting to the parks.,5
ahcielo19,Small room...great view!,We were 2 adults and one child. The bed was not enough for us. There was a sofa bed but no extra blanket. I booked room with river view but they gave us room with no view. Front desk staff they just make there hours.,3
leesalafollette56,River Hotel,"First of all, I would just like to say thank you for the great experience. I am very satisfied with my stay and would like to come back again soon. Also, the woman that was working the front desk when I checked in was by far the most beautiful woman I have ever met in my entire life. She should be modeling somewhere. I wish I would have told her this at the time instead of in this message. Anyways thank you for the excellent service.",3
gabriellezaghi,Great service!,"Decent hotel for the price, removed amenities due to COVID-19. Room was clean and bathroom was clean. Rooms in the tower (above floor 24) are small in space (warning we did not know when they offered us a better view of the river it’s less space). Also our room temperature was 88° and when we called they said we can’t control temperatures in the tower and told the temp drops to 32° outside at night but no one can sleep in an 88° room. We needed a fan all night for 3 nights in winter. I would suggest staying in floor 9 river view as my other family did.",5
Ms. TC,Great Stay!,Loved how close everything was and everyone gave great customer service. Room was tiny and didn't like that at all. Bed was nice and firm and slept very well even with city outside. I just wish that the size of the room would have matched the price of the room.,5
Marina M,Cozy,I love this hotel. Close to restaurants and shopping. Very clean and follows all Covid protocols. Check in was at the front desk because of third party booking. But loved using the mobile key. Has issue with TV but it was resolved quickly. I highly recommend this hotel because of the price and location.,3
chumphries20152020,Amazing Hotel,"The location is amazing! Close to everything, makes easier to walk around. A lot of great spots close to the hotel. Their employees are very kind, sweet and friendly, they made de experience way better and that was very helpful!",2
Mely991,Very Accommodating with Booking during COVID-19,I got 'stuck' in the city because of the surging rideshare rates that evening (the room + the ride home the next day was still LESS than the surge rates!). I decided a hotel would be more economical. Found this place and checked in late. What a gem! The location was right on the river and I had a great view. The staff was very helpful and accomodating. Serg greeted me at the reception desk and was super helpful. The room was clean and the hotel did a great job of adhering to covid guidelines. I can't wait to return here in the future.,1
Derek O,Top Notch Hotel,Perfect location right on the river and near millennium park. Dated hotel but very attentive staff. Following very strict COVID restrictions which was comforting. Very secure. Entrance to lobby and elevators by key card only.,3
Sergio S,Great Location & views,"Amazing hotel! Very clean, amazing views, and amazing value. The River Hotel was in a prime location. Within walking distance to every major attraction and very safe. Will stay here again when I visit Chicago!",4
JonasYngvi,"Great staff, comfortable room",I am very pleased with my experience with the River Hotel Chicago. I was planning to visit Chicago but due to COVID-19 I was unable to make the visit due to the travel restrictions. I had a non-cancellable booking for this hotel with Expedia and I received an email notification saying that I could cancel this booking with full refund due to the River Hotel being very understanding and accommodating. All of this I was able to process online which really reduced my stress on how to get money back from my trip and eliminated the need for me to call Expedia and wait on the line for a long time due to abnormal call volumes. Thank you River Hotel for being the most positive booking from all of my trips I had planned during this time I will not forget it and once I have the,5
dalecrook82,Wonderful!,"Really enjoyed staying in this lovely hotel in the most beautiful city. Location is fantastic, right on the river and walking distance to everything in the heart of the city. Staff were really kind and helpful, especially Pedro. Room was nice with an amazing view. Free wine at 5pm every Monday to Friday. Price was very good, although we did travel in the off peak season. Would really recommend staying here if you are visiting Chicago. Would love to return some day!",3
David N,Two Star Hotel At Best,"The location is fantastic, next to the River and close to the Millennium Park. Super Speedy Check in, in just 1 minute. Rooms very clean & nice staff, stunning views. We would definitely choose it again.",3
Keith A,Good Hotel / Location,"I stayed at the River hotel for one night only. I just whish I could have been longer. The staff was very friendly. Location was great, next to the Magnificent mile. Clean and comfotable room. If I am ever inn Chicago again River hotel will beið þú choise.",5
JVhoose,Fun!,"Pedro, Sierra, and Mila went above and beyond! My fiance (Katie) and I stayed at the hotel for our one year engagement anniversary and Katie's birthday. I spoke with Mila on the phone and mentioned the special occasion. She said she would make sure we had an upgraded room with a good view, she did not disappoint! We checked in with Sierra and Pedro, we were impressed right from the start. Everyone was very friendly and accommodating, we couldn't of asked for more. We instantly felt like welcomed family. The room was perfect with an absolutely beautiful view, and to our surprise, they had left a birthday card for Katie and a happy anniversary card for the both of us. With hand written messages on both, not just a printed out quote. It was a very personal touch and made us feel",5
Stephen O,"Would highly recommend it, great experience","I spent 2 nights there and was not able to sleep. The staff put me in a room where the headboard of the bed is the same wall that the elevator shaft is in, so all night you just hear the elevators going up and down. Location is good, and it is very inexpensive, but those are the only two positive things that I can say about it. The rest of the place was mediocre, or below average. The carpet is old, worn out, and stained. The room is extremely cramped, for example, the bathroom doesn't even have a single drawer in it, so they hang the hair dryer in a bag on the backside of the door on a towel hook. Their is no ironing board or iron, so if you are traveling for business and need to iron your shirts/pants/suits, you are out of luck. The bed frame is one of those old metal ones",3
LadyTexan80,Fantastic views in the heart of the city,"My wife and I stayed here for the Taste Of Chicago. Checkin was early afternoon and we were greeted warmly. We used Lyft or walked to travel around the area as this hotel is downtown right off the Chicago River and downtown parking is very costly. The room was fresh, and had all amenities of home(Fridge, Microwave, Coffee Maker, etc.). The bed was very comfortable and we had a GREAT view of the river and city. I rate this hotel 4.5 stars. I would stay here again when I return to Chicago.",2
Finqb13,New Years Getaway,The River hotel is in a great location and everyone was very helpful with upgrades as well as recommendations in the area! The accommodations were perfect for a quick overnight trip to the city with my daughter.,1
Connor W,"Great Hotel, Great Location","Stayed here over a split week, 1 night then returned for 4 nights. Great experience overall. Comments on staff at the bottom, fantastic service + Great location, right by the river + Reasonable price + Room furnishing was minimalist and new looking + Clean rooms + Big TV in the room + Very comfortable bed and pillows + Water stations throughout the hotel were a nice touch, haven't seen that in other + Complimentary snacks on the 2nd floor + Free wine in the lobby Monday to Thursday We left our bags in the hotel over the weekend and the staff had no issues keeping them safe for us. In particular Pedro at the front desk made our stay 5 stars, always so polite and accommodating. He made us feel extremely welcome and as we were checking out he went out of his way to say",3
Kimberly C,Friendly staff and location,"We stayed in the River Hotel in August and November for quick trips to Chicago for fun/food/theatre, and both stays were wonderful. While there is no on-site restaurant, during the week the hotel uses the common area on the second floor for complimentary snacks and coffee. We didn't find this a problem, as we were there to explore what the city had to offer, and we did enjoy the snacks going in and out. Both times, we booked a double queen room, which I highly recommend. It was extremely spacious and included two bathrooms. For two sisters, even as adults, it was a dream come true! Ha. We had a gorgeous river view as well, and the room had all the amenities we needed, plus was very clean. We also enjoyed the free water bottle filling/refilling station and used it several times",4
821rachel,"Convenient, Friendly place to stay for work","Checked in on New Years Day by Sarah. Check in was fast, and we were in our room within 10 minutes. Valet parking was very convenient, but is $53 a day. We booked a superior room, which had a Keurig, microwave, and small fridge. Room also had a sofa sleeper. The bathroom had a walk-in shower. Our room “802” had a great view of the river. The hotel is steps from Michigan Ave, and within walking distance to most everything. This was our first stay here, and we will return.",5
GuillermoAvolio,Great Hotel!,Reserved a room a couple months ahead of going to Chicago. Called ahead before arriving and let them know that we were staying for an anniversary. They said they would make a note next to the reservation to see if they could upgrade our room for free. Pedro checked us in and he was very friendly and helpful. We got the upgraded room and even had a note and treats waiting for us when we walked into our room. Rooms are a little small but comfortable and views are WONDERFUL facing the river! Highly recommend this hotel with the super friendly staff and the location. Absolutely will be staying here again next time we visit Chicago!,3
christianvh2014,Perfect stay downtown Chicago,"The rooms generally are not large or ostentatious but small and comfortable. The biggest perks are the friendly and helpful staff, downtown location by the river and close to shopping, as well as UNLIMITED water and fabulous Columbian coffee!",3
Crystal J,Travel to Chicago,"I was able to check in early and was upgraded to a larger room if I downloaded the new app. Nicer room, still old-feeling, bare minimum amount of towels and they were scratchy but overall, the staff and amenities (like purified water on demand and snack area and lounge) made it a perfect spot for a night away for work. No big complaints, just small areas to improve. Ryan and his team were lovely and very helpful!",5
Matthew G,Great staff lovely hotel,"River hotel is very-well located in downtown Chicago, in one of the most beautiful areas of the city. A high floor room will ensure an incredible view of the city and they are also very comfortable and clean! Super recommended",5
Bruna Ghizzo,Miguel Gonzalez the best employee,"Super hotel downtown Chicago. Extremly friendly and professionell crew, clean rooms, close to perfect. Very achievable price and cheap valet parking. What more do you expect? Anytime again and absolutely no complains.",3
Carliena P,Bang for your buck!,Spent a week at the River Hotel in Chicago - great winter deals as the city is quite dead in December and it’s been on my bucket list for quite some time. We loved the River hotel with beautiful views of the River close walk to the trains (to the airport and for exploring the city) also close enough to walk for almost everything you want to check out in the city - the rooms are really nice and we loved the added touch of oranges and chocolate waiting for us when we arrived in our room. They have refillable water bottles on each floor which was super convenient and wastes less. If you check in you won’t be disappointed,2
Veggie4eva,Convenient location,"Just returned from thanksgiving in Chicago and have to say can’t speak more highly of the staff and the hotel, I arrived with no suitcase thanks to KLM and they could not be more helpful they advised me the quickest and easiest place I could get some clothes , they provided me with all my toiletries which when I got there was a big help , room was great even tho bathroom bit dated but me nip picking , I had a lovely view off the trump hotel and no matter how many times I bothered the staff with questions they were always happy to help and gave me great tips and advice I enjoyed my stay in Chicago I will return 1 day and most likely choose the river hotel 👍",1
maternity4,Service was very good,"Hi, I was in River Hotel in August and I forgot my vinyl records, so Miguel Gonzalez / Housekeeping Manager finded and send to me. He is attentive and never gave up until send to me. Thank you so much Miguel. I really appreciate that.",3
soudersmark,Chicago - Hamilton Trip,"The room was small but comfortable for two people. Very clean and the staff was extremely accommodating. Centrally located, walked to navy pier, Millennium Park, restaurants and shopping. Felt very safe.",4
DBest181,Stay at the River Hotel and enjoy all that Chicago has to offer!!,"Nice hotel with clean rooms. Rooms are small but manageable. A standard room comes with a queen bed, a desk and a chair and if you are lucky, you will get a room with a view. The river view is beautiful at day and at night. Good staff. Convenient location. CTA bus stops diagonally opposite to the hotel. Orange line gets you here from Midway, 5 minutes walk from State/ Lake. 24 hours coffee/ tea/ milk on level 2. Water station at every floor with bottles. The hotel has a very effective system to hold bags post checkout. You need the room key to access the elevator. Complimentary wine and cheese at 5 PM Monday to Thursday in the lobby area. Complimentary M&M, bar mix, peanuts and sunflower seeds for snack, fresh fruits and Pepsi brand sodas all day, again, only Monday to",5
David H,Great location. Historic building. Good rooms,"We visited in April and had a great stay at the River Hotel. The rooms are small but honestly we were comfortable. Kaina at the front desk was extremely helpful. She provided great ideas of where to visit and eat. Also, she was great with walking directions to make the most of our visit.",3
