Reviewer,Title,Review,Rating
yplj,Wonderful stay made by amazing hoteliers!,Did a staycay over the weekend at the hotel. It is conveniently located in the heritage area of Katong and perfect for exploring the wonderful cuisine around the area from hawker food to Peranakan and even old school Chinese restaurants. The room is nicely appointed with very nice heritage details. The roof top pool is very impressive. Service is top notch and super friendly.,5
Tim P,"Classic Peranakan Style, Modern Boutique Amenities","All I can say is wow! All of the staff made my stay fantastic. The front desk staff were extremely helpful several time during my stay. Too many to name Rosa, CK( the tallest man in Singapore) Tiffanie. The Breakfast at Baba Chews and the staff in there made me feel at home only with a lot more different things to try. Merry and Lucy were there daily to make sure my day started out perfect! The entire staff at Baba Chews were a delight to deal with. I managed to talk with the manager of Indigo and Baba Chews, Adel. This man has only one thing that drives him, your comfort. He takes great pride in his hotel and his staff and you can see it from the first moment you speak with him. No matter how busy, he will take the time to talk with everyone he can to ensure their stay is",5
Tina-LJ,"International Standard, Local Feel",,5
Eddy C,A modern peranakan dreamscape,"This is my 3rd visit back to the hotel, with the previous visits being pre-covid. The property has always stood out for me, which was why I was so eager to revisit upon knowing of their reopening! Can I just say that the level of service far exceeded my expectations for a 4-star boutique hotel, and surpassed even the previous stays. What really blew me away was the friendliness and attentiveness of the hoteliers — making sure to look up and meet the guests’ eyes, smile and greet them (no matter whether they’re engaged with their desk duties or not). This was an observation made whenever I went in/out of the hotel lobby, and even if it may sound “trivial” to some — I think this speaks a lot about the brand culture and overall impression by Indigo/IHG. During our short stay, we",5
Li Sue,Birthday staycation,"This hotel is located squarely in the middle of my favorite part of Singapore - the Joo Chiat area of the East Coast. Literal walking distance to dozens of bars, restaurants and gyms (walking distance as in ""across the street"" not ""about a mile away""). The hotel staff is almost impossibly kind and pleasant. Rooms are decorated in traditional Peranakan style - my room had a large rain shower, two sinks, and ample closet space. The aesthetic is beautiful and a tribute to the history of the area. The roof pool and gym were easily accessible and provide a GORGEOUS view of the entire city. The included breakfast at Baba Chews was so delicious and with such a variety I would plan my day around it. Would absolutely recommend staying here if you're in Singapore. East Coast is great to",5
Ading A,Beautiful hotel with heritage touch!,"Fabulous 2 night stay at the Hotel Indigo Katong, an artful blend of old and new.  My room was surprisingly spacious (many a Singapore hotel room is tiny) with colourful local touches giving a heritage feel.  The black and white mural on the wall of my room depicting local hawker life inspired me to head out and explore the Joo Chiat area and local peranakan culture.  Breakfast at Baba Chews, housed in the old Joo Chiat Police Station had a great selection of western and local breakfast (can recommend the Nasi Lemak!), and the local area offers plenty of dining, bar and shopping options.  Great stay, staff super friendly and happy to help whatever time of day.  Rooftop pool offers great views over Singapore as well as a refreshing dip after all that exploring.  Bed comfy,",5
SAL,Super Hotel,"Hotel indigo is so friendly and it really is like a modern Peranakan dream! ~ 5 stars for everything especially the most wonderful staff. I’m glad you’re open and running, it felt quite emotional to be in Singapore again. Much love xxx",5
Dylan R,Lovely hotel,"Had a very pleasant and enjoyable stay at Hotel Indigo katong. The peranakan design of the room really impressed me alot, especially the bathroom. Prettiest design ever. Breakfast at Baba Chew was delicious with lots of choices of food to choose from. Will come back again as we felt really welcomed by all the staff from the front desk to the restaurant. Highly recommended. Special thanks to Miss Jess who delivered me my birthday cake to the room and showed us around the hotel. Thank you.",5
Jan M,My #1 Go-To in Singapore,"This hotel is nestled in Singapore Katong area, which is rich with peranakan culture and heritage buildings. The ambience is straight away drowned you to the peranakan era but with modern touch, some furnitures is heavy with heritage style and touch, the room is amazingly comfy and stylish, very colourful as well. Last but not least, baba chew restaurant is the one you should try as well!",4
bikemikeone,Just a wonderful place,"This was my first time at the Indigo Hotel, Katong and what a lovely place it is! My room was a 1 King Bed Standard Heritage View with bath, and it was just like on the website. The bed and linen were very comfortable, the room was spacious, the rooftop pool was just fabulous and all the staff were just wonderful. I had the breakfast included in my package and I was not disappointed. There was lots to chose from, western and eastern cooked food, cereal, fresh fruit and barista coffee, which was a fabulous as they had different milks to choose from. The staff there were very attentive and I'd like to give a special mention to Merry who was just lovely. I would defiantly go back.",5
Ruffedgerose,It was a nice hotel,Stayed here for 2 nights and it was a great experience. Pool area was clean and the themed rooms were a nice touch given the history of the area. Would recommend staying here. Bed was comfortable and air con was quiet.,5
andrea9881,Quaint Restaurant with Great Service,"I have stayed at this hotel numerous times over the last several years and will be returning again this summer. There are numerous great hotels in Singapore - but this is always my #1 go-to. The rooms are spacious and beautifully decorated with up-to-date furnishings and bathrooms. I have had several different rooms, so I know this is true for all rooms. The staff is very friendly and knowledgable about the area. There is a great restaurant attached with a wide variety of good food and an ""included"" breakfast is available that cannot be beaten. The location is great as it is near two shopping areas as well as being located in the historic neighborhood of Katong. Best of all - it is sustainability friendly without affecting the customer's experience. This hotel also has a",5
KiwiExplorer,TRENDY AND QUIRKY VALUE FOR MONEY LUXURY,"Located in my favorite part of the city, Katongo/Joo Chiat, with so many good eateries, hotel Indigo is heaven. Room decor in local, Perenakan style, good bed and bathroom. Nice to be in the room. Breakfast no less than exceptional. Plenty of choice including lots of local touches. Service so friendly and helpful. The roofgarden with a large swimmingpool and the most awesome, stunning view of the entire Singapore island is so hard to leave behind. A most fantastic place to enjoy a swim, relax under the equator sun and see sunrises and sunsets over the orange tile roofs of Katongo and the island. Beautiful. Tasteful decor right throughout the hotel. Will be back.",5
Agus Emilyadi,Staycation Yahoooo!!!,"Very nice hotel to be in. It has a nice swimming pool and should look into making the room cooler, it looks a lil bit too vintagey. I love that there are games and all however can take into considerations other things.",5
Intrepidtraveler53,"Love, Love, Love","Our first and definitely not the last visit to Baba Chew’s. Attended a family wedding in a quaint Peranakan Restaurant Katong. It was just warmly set up and cosy. Service was top notch. The Manager, Anne and her team was very hospitable and service was on par with 5 star Hotel Restaurant. Well done Anne! We will be back with our friends.",5
Toothless,Tastefully Decorated Comfort with Great Service,"We stayed in this hotel for 1 night mid January en route from Myanmar back home to New Zealand. We picked what we thought looked like the nicest hotel closest to the Airport without having to venture into the downtown area. Both the hotel and the area were fabulous and much better than expected. The hotel is right next door to a big shopping Mall & immediately in front of the hotel are several restaurants. The hotels own restaurant Baba Chews is where we dined for Dinner and the atmosphere, service and food were excellent. Across the road is an immaculately restored block of shops and restaurants, the area is just gorgeous and we were disappointed we didn’t have time to explore. We stayed in a king bed deluxe room and it was fabulous. Tastefully decorated, spotlessly clean and",5
EeMing,A wonderful one night anniversary stay,This hotel is very lovely and the decor is a heritage Peranakan. Upon check-in we are greeted with a very welcoming smile at the reception by Ms Nani and Mr Denry. As we checkin we have to fill up the health declaration form due to the Convid-19 outbreak. We got a complimentary upgrade as we are celebrating our Anniversary without even asking. Rooms are very clean spacious and have a very cute bathtub like what i said the decor is peranakan LOVE IT 💋. I truly recommend the people out there to tryout this place there is lot’s of local food around at this hotel and the beast among all best is the friendly staff at the counter never fail to smile and greet you even they are wearing a mask. Thanks Ms Nani and Denry,5
Rob L,Excellent stay,"The hotel is incredible. I had never stayed at an Indigo property, and I cannot wait to visit at another one. The decor is modern with traditional elements. The hotel has thought of every thoughtful touch. I don't want to ruin the surprises, but everywhere you look, there is an element of Peranakan culture or tradition from the foot wash tub to the candy treats. Ask the hotel to explain the room in full detail. The hotel is in the Katong area, which is near the airport. However, it's not in the central region of Singapore. Spend at least one night in Katong even if you want to stay in Central Singapore. The area is fantastic, and it's become a hipster-style neighborhood with incredible foodie destinations. The staff was helpful and gracious. The breakfast is yummy and",5
Ophir77,Peranakan-style comfort and hospitality,"The first impression was refreshing. You're greeted by a greenery wall and greenery around the property before entering. The main glass door of the lobby is not directly at the building entrance, giving it privacy and probably a nod to the traditional Peranakan house entrance, where it typically require a detour around a wall upon entering. The lobby was small and long but had Peranakan items around the area. There was the beautiful sets of rectangular carriers that resembled the Bakul Sia and had jars stacked up near the elevator. There were even side tables with Peranakan motifs at the front desk. What accompanied these beautiful decorations were the warmth and friendliness of the front desk staff. Check-in was smooth and the staff were helpful. They acceded to my request to",4
Punitha R,Amazing stay :),"I checked into Hotel Indigo Katong on 14th March 2020 to celebrate my 2nd anniversary with my partner. Upon arrival, due to the recent Covid19 Corona virus, we were asked to fill in a health declaration form before we are allowed to check in. Not long after checking in, there was a knock on our door and one of their staff actually delivered an anniversary cake to us which came to us as a surprise! We were staying in Room 1121, King Premier with Bathtub. The rooms were spacious, the toilet and showers were split into two different areas which was somewhat unique. There was a carrom table which allows us to have a game of carrom and the whole room was peranakan themed, exactly like how we see in the photos on their website. The bathtub faces the Katong neighbourhood and a sign",5
skippy-rates,Modern design led hotel,"My wife and I stayed here last year on a stop over from the UK to Australia. We came back this year for an 8 night stay. We were not disappointed. From the reception staff, to housekeeping, all very professional. Very happy and helpful. Nothing was too much. We had breakfast included and again the staff were great. The room was cleaned and presented well whilst we were at breakfast. It is located well for taxis and in future when the MRT station is finished. Will stay there again.",5
Angelica,HOUSEKEEPING!,"This was our fourth staycation at Hotel Indigo; the first in August 2017 followed by the second for Christmas in December of the same year. The third and fourth were also in August of 2018 and 2019 to watch the National Day Parade on a large screen while enjoying all the good food and kuih-kuih in the area. Obvious to say we absolutely love this ‘Peranakan’ themed hotel for the most part because we hail from Peranakan backgrounds and appreciate the thoughts, ideas, inspiration, knowledge and creativity that have gone into the development of this unique establishment, which has not only won our hearts over but has become our ‘home-away-from-home’. It was good to be met by familiar front office staff like Esther and Tuah (and Faris) who recognized my mother (this is important for",5
Ian D,Well Run Hotel Pleasant Part Of Town,"My sincere thanks for all the arrangements you've done for my stay and with all your little gesture it has been one of my memorable stay. Thank you so much for the complimentary room upgrade, late check out, and yummy pandan cake as well. All your staffs were super friendly and helpful. Please convey my hearfelt thanks as well. The rooms was very beautiful and I just loved it. Keep up your marvellous work team !!!",5
KenS,"Excellent stay, great service and charming room",We enjoyed our stay here which we chose on the basis of reviews on here; and also thought it would be fun to try a new less central location. Hotel is new. Rooms well kitted out; albeit with slightly odd configuration (split bathrooms) and slightly too much furniture in. Breakfasts good. Reasonable value.,5
leanne c,Faboulous roof top pool,"One of the reasons why we chose this hotel was the good reviews from the previous guest, we actually had a good staycation here . However, during our last day of our stay one of the housekeeping staff tried to enter our room when it's on a DO NOT DISTURB sign. This is totally unacceptable!!!! Guest privacy should be respected.",5
bus11traveller,Worth trying and must try their restaurant,I have stayed at this hotel a number of times most recently in December 2019. It is well located if you are happy not to be in the centre of Singapore in an interesting older style part of town. The staff on the front desk are always courteous and helpful. The rooms are very comfortable. The pool is good.The local choices to eat are great including Baba Chews which is linked to the hotel.,5
Joemisty,Spacious room well designed,"Probably one of the best stay I had in Singapore thus far. Extremely charming Peranakan themed-hotel, which my wife commended on the attention to details in the room. Get the king suite with a bathtub! The view is impeccable too. Semi-buffet & ala carte breakfast is done at the perankan restaurant next door. The food is fantastic, such as the traditional kaya toast set, the pancakes, Great location that is near many good cafes, eateries, bars and shopping. Even East Coast park is a stone's throw away Smart idea to have a discounted Sunday yoga for guests. Requested for a crib and it was provided. The crib is sturdy and clean.",5
197gabes,Great hotel for staycations,"We stayed at hotel indigo for 1 night with 4 children in an interconnecting room. The hotel has some great interior design with little features such as traditional sweets in jars. Both rooms were fairly small which is typical for Singapore but the facilities onsite and local arwa more than made up for this. Katong is a great area to visit and the hotel felt really central. There are plenty of great restaurants just outside of the hotel, which was helpful as the food at the onsite restaurant was quite poor and the choice at breakfast not great but adequate for 1 night. The rooftop pool and gym were fantastic. We would definately stay again.",5
SMJ0907,Beautiful hotel in great part of Singapore,"Food at the restaurant is amazing. Nice themed rooms, the food scrub is a nice touch, a selection of complimentary lozenges and candies. TWG tea bags! Close to airport but not too close, good selection of restaurants and bars nearby. On the downside, rooftop pool is a little overrated, a tad tiny and basically overlooking the neighbourhood, don’t expect any glam but more coziness. For this price, could actually be in a nice 4-4.5* closer in the city. Location wise, it really isn’t close to anything major and not connected to MRT so it’s either bus or taxis which some times are not the best options, especially when weather is bad, so bear that in mind.",4
chris2pherwong,Excellent Hotel with Beautiful Accents,"In a nice neighbourhood within walking distance to many eateries. Chilled casual vibes, room is spacious and look exactly like photo. Will recommend this to any guest looking for a different staycation compared to downtown hotel. Meals were good with good selection",5
Habeyah,One of the Best Hotels!,"First time staying an Indigo brand hotel. So did not really have much expectations when made a booking for staycation. Glad to say that the property did not disappoint and we had a good time. The check in was efficient and staff was friendly and gave the usual info on breakfast and check out timing before issuing the room key. Similarly, checking out was hassle free, the whole process took less than 5 minutes. The room like the rest of the hotel have a strong Peranakan influence which is nice as it blends well with the whole Katong area. There are several nice touches that made the stay specially memorable like offering free candy commonly found from one’s childhood, a table that also doubles as a carrom board which you can play on. The room we had also offered a great view",5
Adeline Potter,Peranakan chic with modern comforts,"We have really enjoyed our stay at Hotel Indigo. The rooms are unique and generous. The rooftop pool is exquisite. The hotel is a very easy 10 minute cab ride from Changi Airport. One star lost for a few reasons: - Baba Chews is the restaurant attached to the hotel where you can get buffet breakfast in the morning (was included for us) and meals at other times of the day. The service was just OK. Maybe it was because of Lunar New Year that it was so busy, but usually restaurants would staff up for such a peak period. The delays in being attended to on arrival and the wait for coffee was not acceptable. The breakfast food was pretty good, with the exception of the Nasi Lemak, but the evening meals were not so great. I had to send back the specialty crab soup which was cold. In",5
SumoTraveller,Excellent Inside and Out,"We love this hotel with its modern interiors mixed with Peranakan accents. It is highly Instagrammable and the rooftop pool is also very photogenic. Breakfast at the nearby restaurant was nice, service was efficient and our stay was very pleasant. The Katong neighbourhood is teeming with restaurants, bars and a supermarket is nearby. Love the East Coast neighbourhood vibe. Would love to return.",5
Keoweecruiser,Unusual hotel in quiet area,"Another hotel review from my recent trip to Southeast Asia, November 2019. This is the Indigo Hotel 🏨 in Katong, Singapore 🇸🇬 I have done a lot of traveling and stayed in many hotels throughout the years and the Indigo Hotel, Katong would have to be one of my favs! Unfortunately we only stayed here for a night as a 24hr layover before heading back to Toronto. Firstly, Katong is a beautiful area full of colors and a huge Peranakans culture still remaining. Received a warm and friendly welcome from the staff upon our arrival. We were provided a complimentary non alcoholic beverage during check in and to our pleasant surprise, was given a free room upgrade. I would highly recommend this hotel, and I will certainly be back the next time I visit Singapore 🇸🇬 again.",5
Han_yinu,Hip & Cool Boutique Hotel,"This place is truly remarkable in its interior design. It has brought Peranakan culture into the 21st century while staying true to the Peranakan heritage. Additionally, this has all the modern comforts of a hotel, including USB ports near the bed. The linen was clean and comfortable and the service is excellent. We would enjoy staying here again!",5
Dani c,hotel with lots of heritage,"Everything is made simple, yet nostalgically Singapore I loved the deco, the retro theme of early Singapore. The breakfast spread on local delicacies mixed well with the international fairs. Service was fantastic, all smiles and ready to assist .. Location might be a little further from town, but hey .. Singapore is a tiny city. So, everywhere is 20-40 mins away. Surrounding amenities are good, and lotsa of restaurants to choose from. Not forgetting that the beach is 15 mins walk away, but Singapore beaches are nothing to brag about",5
Clare,Excellent service and beautiful room,"We stayed two nights at the Hotel Indigo. The room clerks were friendly and accommodating. The room had personality - lots of color and homey, traditional touches. Full floor to ceiling windows allowed for a wonderful city view but couldn’t be seen from the bed. Large shower was nice, but is tiled and I would have liked a no-slip mat for the floor. Nice touches with Nespresso machine and candies in room. My husband enjoyed the foot bath after a long day of sightseeing. The bed was comfortable. We enjoyed sitting by the rooftop pool, although the water was pretty cold. This hotel is in a walkable area with lots of restaurants and shops. However the hotel is 15-20 minutes into the city by taxi or Grab (similar to Uber). There is no MRT in the area and we were told the",5
Winston Chuah,Excellent hotel with a Peranakan feel,"Unfortunately we only booked in for 3 days and 2 nights, on the stopover on the way through Asia. Other reviews have covered most of the Pro's, a few Cons below for the hotel to note For some reason, after we went up to our room after check in, it took ages (20 -30 mins) for reception staff to bring our bags up (we were going to bring them up ourselves but they insisted on bringing them up). No luggage racks, despite plenty of room for them in the room No towel rails to hang up bath towels, they had to be draped over the chairs to dry. Consider a free standing rack perhaps. Due to the lay out of the room (with the shower/handbasin/wash area taking up half the window view therefore the expansive street/neighbour hood view not made most of and cuts out light for the room. I",5
anniemarr,Beautiful decor but noisy,"I was truly surprised by my stay at Hotel Indigo Katong. The rooms were of traditional peranakan design. The bathroom was great with quality products. What was more surprising was the wonderful front line staff. Young, polite and always with a smile. Very refreshing.... Breakfast was wonderful. Goof choice from and off the menu. The hotel is surrounded by many eateries. From local food to seafood, French, Italian, German and many more. You will never go hungry at Katong.",4
sulicioustravel,Best hotel we have ever stayed in,"Weekend staycation. Beautiful boutique hotel to enjoy & explore the quaint & beautiful Peranakan culture and food in Katong. Front desk staff Shakiel made us feel so welcome - excellent service & thank you! Room is beautifully set up with Peranakan feel, nostalgic furnitures and modern lay out. Highly recommend this boutique hotel... don’t have to go far to enjoy a wonderful vacation in this hotel :)",5
Leonard F,Nostalgia ! A Blast to the past into the good old 70's & 80's,"A uniquely designed hotel located in the Katong area about 7.4km from CBD, it's one of the best hotels I've stayed on my business travels. Part of the Intercontinental hotel group (IHG), you definitely can expect IHG's renowned hospitality and sure enough I wasn't disappointed. All staff go the extra mile to make your stay welcome and comfortable. I stayed at the Deluxe room and really liked the way the rooms are designed. A fusion of modern and vintage Peranakan. The working table is a converted carom table which is so cool! The wash basin is converted from an old sewing machine. Breakfast is a little special, they don't have a regulat breakfast buffet spread but have a menu where you can choose noodles, eggs, sausages, ham, etc. You do get bread and dessert biggest spread",5
Skaramoosh,Thumbs Up!,"This hotel is beautiful, quirky and different to most hotels which are often pretty much the same. The walls are just so thin, we could hear the people next door taking showers at 5.30 each morning as though they were in the same room. The loo might as well be doorless. It does let down the hotel. The breakfast is brilliant but evening meals not so good, particularly if vegetarian and gluten free. Staff are friendly, efficient and very helpful going the extra mile to assist. If the walls were sound proofed it would be five stars.",5
tracingtheworld,Hotel reflecting local Peranakan theme,"We stayed at the Indigo Hotel in Singapore for a short break in Singapore in the last week of December through January 1, 2020. In recent times, this is the best hotel we have stayed in. Highly recommend. Honestly - I cannot think of anything here that needs improvement. The rooms were beautiful, the service staff were exemplary and the bathrooms and shower were the best ever. Probably the best shower we have ever used :-) The rooftop swimming pool was surreal. The most unique rooms I have ever seen with Katong style interiors and architecture. Convenient coffee shops and restaurants nearby. The nicest, kindest service staff I have seen in a long time. Don’t hesitate - go ahead and book this place :-)",5
Awayteam72,Excellent Xmas Holiday Stay 2019,"I arrived at this property in their driveway and conveniently ended up in the wrong hotel. Poor signage. After a false start, I was in the right hotel lobby. The checkin was quick and easy especially if you're an IHG member. A free upgrade, free internet and much more. My room was a pleasant surprise and filled with nostalgia. A bit of Peranakan and a bit of the 80's and a dash of the 70's. The coffee table was a blast to the past which was a ""carom"" board turned table. The amenities in the room was also unique and reminded me of the 70's styled antiques and decorative. It was a very spacious room to begin with. The bed was very comfortable and the room had interesting wall finishing on the wallpaper. There was an antique cabinet which had all the room and coffee making",5
Amanda,"Great style, great neighborhood","Checking in was both pleasant and smooth. Staff were very friendly and welcoming. Rooms were clean, comfortable and cool. Room amenities and toiletries were very good and more than adequate. Breakfast is at Baba Chew's, towards the main road. Good breakfast! Cleaning staff were very efficient and thorough. Location is in the East Coast....about 12-15 minutes from the airport. Unfortunately, it's not in the touristy/glitzy Orchard nor Marina area. Takes about another 12-15 minutes by cab to Orchard road or Chinatown. Lots of F & B outlets outside the hotel...around every corner and along the side streets. It's priced in the mid range category and it's well worth it. About a 10 minute walk towards the coastal highway there's a mall, Parkway Parade, and also a foodcourt",5
274indirap,Nice small hotel,"The twin room we booked was spacious with lovely touches of Peranakan motif. Prem at the reservation desk processed our checkin very quickly. He also recommended places for us to eat and helped us with the booking of a restaurant. He was very obliging when we requested him to change the time of the booking. It was very nice to return to the hotel and be greeted by him as if we were long term guests. The breakfast was a semi buffet plus a main dish from the menu - very sufficient to start the day with. The hotel is located in the center of Katong, very convenient for shopping and eating. The famous Katong laksa, Birds of Paradise and An Açai Affair are across the street.",5
Vy T,Comfortable stay in great location,"This is an excellent place to stay in Singapore. The decor and theme of the hotel are charming, tastefully capturing local historical Singaporean culture and feel, whilst offering all of the 21st century convenience you need. The staff were attentive and friendly, and the breakfast at Baba Chews was super. Room rates are very reasonable and the hotel is conveniently located with plenty to do just outside. We were very happy we chose Katong over Orchard Road this time. We look forward to returning.",5
Catherine M,"Hip but cosy, with great staff","I picked Hotel Indigo for its location in Katong, which I had not explored during my previous visit to Singapore and its unique design elements. Happy to say that in addition to those two things, the hotel offered a lot more - expeditious and incredibly friendly check-in, delicious breakfast each morning (where the lattes were excellent) in the connected restaurant, Baba Chews, and a beautiful rooftop pool area to boot. I particularly enjoyed the TWG tea and local sweets in the room, which were replenished throughout our stay. The design of the room was colorful but at the same time relaxing with its old-fashioned foot bath, cool mural, and geometric bathroom tiles. The room was an incredibly pleasant respite when we wanted to take a break mid-day from the heat. Thanks for",5
Bill,Comfortable room,"Small hotel in Katong. Nicely decorated with rooftop pool & gym. Attached restaurant has decent menu and bar. Breakfast offerings both local and western dishes. Gym is small but clean and functional. There is one row machine, 3-4 cardio treadmills & ellipticals, some free weights, one cable machine, one bosu ball and some yoga mats. Nice to see a container of antibacterial wipes and free bottles of water. A pity there are no nearby MRT stations, so we relied on GRAB rides.",4
Mirza,Wonderful staff of front office.,"Best aspect of my stay here was the room design and small Peranakan touches in the facilities. I was impressed with the concept of the hotel and the bathroom with ceiling to floor window and amazing view of Katong. The infinity pool is also amazing and great 24/7 gym. Location is great, extremely close to eateries and bus stop. However I believe that service could be further improved, felt more like an express check-in and check-out, not much genuine interactions from the staff.",5
Armand,Really like it,"This is a small gem, located in a kind of groovy part of Singapore. The decor references Singapore style - no chance that you feel you're in a generic ""hotel"" - while being very comfortable and functional. Like much of Singapore, there's an awareness of the planet's need to go green, and a great green wall marks the entrance to the hotel. There's an excellent ice cream shop just across the road, (Birds of Paradise), some great coffee (try Brawn & Brains), and some local designer clothing and accessories shops that are worth a visit. The hotel breakfast was OK, but seriously, you have a choice of excellent coffee and yummy food just outside your door so get adventurous! There's a roof top pool, perfect to cool off at the end of the day, and the yoga class on Sunday morning, next",5
jetters888,The interior decoration really represented the Katong district and culture,"My second stay here at the Hotel Indigo, Katong, Singapore. Good location, although not near MRT, plenty of bus services and taxis are reasonable. Very pleasant staff and comfortable room. Unlike a lot of hotels, the rooms feel like a home from home comfort. Rooftop gun and pool nice. Could maybe suggest a causal hotel bar in the area between hotel and restaurant, otherwise I'm not too keen in going to the restaurant just for a quiet drink. Restaurant, Baba Chews is great for breakfast. Friendly and efficient with good choices of cooked dishes and buffet items.",5
kakaobohne_dot,Wonderful stay at a wonderful hotel!,It was an amazing time Here at the Indigo Hotel. It was super clean and comfortable. The staff of front office ahnna n firdaus was so nice and helpful the first second we stepped through the door. The room had a wonderful flair and so much love to the little details. Nearby are a lot of Shops and restaurant . We had a wonderful time here in singapore and especially here at the Indigo hotel.,5
JohnDunks56,Very nice hotel,"We are 2 adults and 1 toddler stayed 4 nights. Got a deluxe room with 2 beds facing the neighbourhood. Pro : 30m2 is quite big for singapore hotel Nice layout on the room Really quiet at night There's another door with card swipe after you arrived on your room's floor for more safety Neighbourhood is superb! There are lots of restaurants and shops with peranakan style A mall next door has a clinic and kids playground Recommend to use grab all the time with 15 minutes to vivo 15 minutes to airport 15 minutes to marina bay Con : Not much places to hang clothes Hot water sometimes need a couple of minutes Overall, really like it and definitely a must try if you are bored with orchard. You can explore katong and see a different singapore",5
Riki,Great accommodations and terrific service! Highly recommended!,"We liked Indigo Katong Hotel. In addition to the superb service, the details in the room really represented the Katong district, heritage and culture from the pillows, the chairs, rabbit candies down to the red slippers. Kudos to the friendly, helpful and attentive staff of Prem, Nari, and Tiffafy. The hotel is located on a major street and a short walking distance (across the street) to many restaurants, cafes and food stalls offering some delicious local dishes, shopping centers, and a grocery store. It was a very enjoyable stay.",5
Paul B,Nice little corner of Katong,It was an amazing time Here at the Indigo Hotel. It was super clean and comfortable. The staff was so nice and helpful the first second we stepped through the door. Breakfast was sooo delicious and the staff there was so nice and sweet! The Infinity Pool in top ist just amazing!( especially at the evening ). The room had a wonderful flair and so much love to the little details. Nearby are a lot of Shops and restaurants. And the busstation ist just around the corner. We had a wonderful time here in singapore and especially here at the Indigo hotel!!,5
stefanie,A short & unique stay at Hotel Indigo Singapore Katong,"The room was spacious and extremely clean, the staff helpful and friendly, the roof top pool was great with views. Loved the additional touches in the room especially the foot bath and salts comfort bed",5
Grant N,Perfect stopover experience,"Great accommodations and terrific service! Highly recommended! Beautiful, clean, great staff, nice location, also have very good meeting rooms and WiFi, nice breakfast, good mall close by. Will be happy to return",5
Tara,Hotel Indigo,What a nice discovery and a pleasant change from the bustle of diwntown...you are not far away...15 mins by bus and convenient to airport.20 mins bus or cab.. Rooms were quiet and divine.Peranakan style is pleasing to the eye.The self foot bath is amazing and very needed at end of a long walking day.the amenities provided were great Biological from Australia. The roof top pool and gymn were fabulous and what a view over Katong and the stadium etc....baba chews in the old police station down below is a real find and highly recommend it for both dinner and breakfast...lovely use of buffet pantry in the morning and lovely tapas style cooked eggs and sweet offerings along with all the staples reminded me of the Best of W Resorts breakfasts!!! The fusion Peranakan style,4
