Reviewer,Title,Review,Rating
John,Excellent,"This is a charming older boutique hotel. It is directly across the street from the cove and beach access. The hotel is clean and well kept. The staff were friendly and helpful. This is a charming older boutique hotel. It is directly across the street from the cove and beach access. The hotel is clean and well kept. The staff were friendly and helpful. We stayed in room 321, a one bedroom, which is building across from the lobby. The room had an ocean view. There was a small balcony with terrific view of the ocean and the park across the street. The room itself was spacious with a kitchenette and living area. The bedroom had a queen bed and large closet. The bed was comfortable and linens were were clean. The bathroom was a bit small for us. There were plenty",5
tfran88,Beautiful view but room issues,"Adorable hotel in a great location, right on the water in La Jolla cove. My husband and I were able to walk all over town. The staff was super helpful and responsive as well. Would definitely come back!",1
The_travel_wifey,Best ocean view with a few minor inconveniences,"Edwin (General Manager) orchestrated a wonderful romance package for honeymooners! He was so efficient, professional and personable - a joy to work with! Thanks for making their stay even more special!!",4
FITraveler1011,The Pantai Inn - Unique and completely off the charts!,"Great location on the ocean, has always been a tired looking hotel, but now the service is gone too. Stayed in room 208 for 3 nights for my wife’s 70th birthday. We got here during a change in ownership and nothing seemed to be working right. No housekeeping during a 3 night stay. Asked why, “It’s on request.” Seems like for $549/night asking for a hotel basic shouldn’t be necessary. You expect that from Airbnb. ""Here's your key, see you in 3 days!"" Fireplace didn’t work. Patio furniture needed replacing. They are riding on that incredible view of the ocean. They need to either improve the experience to match the price, or lower the price to match the experience. Everyone is pleasant and willing to fulfill any request. Except most things you should just get, not have to",4
Andrew W,Pantai Inn,Lori from housekeeping did an amazing job customer service. Provides extra towels and condiments immediately when requested. She stopped what she was doing and made me feel welcomed. Lori also knew I was visiting and recommended several high level places to visit and eat! Thank you so much,1
jessod619,A little taste of Bali,"I really had a hard time rating this hotel. First of all, the location is really wonderful - right across the street from the ocean and some of the best views of the cove walk. It was also a short walk up to the main town area for food and shopping. Everyone at the hotel seems nice, I really like the decor and it was nice that the room included both a bedroom and a sitting room. Now for the “bad:” First my room had a malfunctioning toilet. (I think it was room 224) I didn’t find out until later at night when I first used it that it did not work. Someone came and fixed it - but unfortunately when I tried it again later on it did not work again. I had to get up in the middle of the night and wander around the outdoor courtyard area looking for a bathroom at 4am. It wasn’t very",5
sshular86,"Tired room, busy location, great staff","My husband and I stayed at the Pantai Inn Monday-Friday in room 222. This review is based on our experience in this specific room. Pros: - All of the staff was extremely nice and helpful. Each person was beyond welcoming and had great customer service! - The location was perfect! We walked all over La Jolla, and up and down the path along the ocean. - We had an ocean front room with a balcony, and I felt like out of all the hotels in La Jolla, we got the most bang for our buck here! The view from our window was perfect. - Our room had a mini kitchen with a fridge, microwave, and glassware. This was SO great to have because we were able to eat left overs from restaurants and not have to eat out for every meal. - The bed was comfy, not too soft and not too hard. - The",1
Jim K,Worst Booking Experience of All Time,"This is our second visit here to the Pantai Inn, and certainly won’t be the last! First of all, let me tell you what this place is NOT! If you want a place who will valet park you Lambo, this place probably isn’t for you. If you want to ring up the bell boy for some tea to be delivered, if you want a large pool, cabana, or a private hot tub, just… don’t even think about this place. There are thousands of those places (I like them too) all over the world and in San Diego as well - have at it by all means, just don’t expect that here! What the Pantai Inn is about are things difficult to put a price tag on. The hotel is one of the most unique in California, each and every room is different. The views of the ocean, the sunsets, the sounds of the sea lions at night and in the",5
177jakedog,Best location,"The hotel was in a great location, town was 5 minutes away as was La Jolla Cove. The staff were wonderful, extremely accommodating and always pleasant. There is a lovely outdoor area with a fire pit and tables that can be used for outdoor dining . I booked a return stay next year",3
bluhorizan,Disappointed,"We've traveled to Bali many times. So it was a treat for us to see a place themed out in it here in San Diego. This hotel was a great boutique experience. Accommodating, friendly and comfortable. They made us feel welcomed. The room spacious and made it easy to have friends over to visit. We had a good time hanging outside on the patio. Great location and close to shell beach and the childrens pool. We will be back!",1
Tom R,Great location and great staff,"First of all, the staff was very accommodating, really great people and genuinely concerned about their guests. The grounds are beautiful! The room however (123) was just not what I’d expect for $500+ per night (I know you pay for location). Dated and tired. We found a dirty towel left in the room which the staff felt horrible about, pretty sure the sheets on the foldout were not fresh nor a blanket for it and the blinds in both rooms were broken and ‘ratty’. Not being overly picky, but again, for $500+.. My only complaint and this is not the hotels problem, it gets very busy in front on the room. Being a first floor our view was largely blocked during the day including an RV (couple selling jewelry in the park) that parked on the street right in front of our room for two",5
FATH169,Nice weekend getaway,"We've booked hundreds of rooms in our lives and no experience has been more frustrating than spending NINE hours of my day today to try to get someone to return my call or email to cancel my reservation on the last day of refund eligibility. I even resorted to calling their parent company and nearby hotels, fearing that perhaps there was something terrible happening at the property. Then, on my 22nd call attempt, at 4:30pm, I'm greeted by a snippy woman with zero empathy who was as curt as I'd expect given the day long neglect. I mean, here was the chance for an employee to be a hero and ""turn us around"" on the awful experience, but nope. Not even close. Who knows, maybe they had a legit reason that all contact channels were all down?! Needless to say, we will NEVER book a room",1
drpsyc,Don't come if you can't climb stairs!,This is a beautiful property. We loved our accommodations. Highly recommend. The little apartments are very comfortable. We enjoyed the fire pit. My parents had a waterfront room with beautiful big windows to enjoy the view. We couldn’t have been happier.,4
peiwei,Old furnitures,"This property has a mix of rooms, apartments and cottage which are ideally located across Coast Drive and the ocean. I've stayed here before for business and there is a wonderful ambiance in the center courtyard and the front desk staff offer 5 star service in many respects. Unfortunately this trip left us quite disappointed with the dated accommodations and the very high cost of our 3 night stay. Excited with booking ocean view room with outside patio! Second floor unit 210: 1 bedroom apartment in an older brown shingled building with an unimpeded view of the Pacific Ocean. However inside, the dated carpets, small bathroom, bedroom and kitchen could have been mistaken for a Motel 6. The bathroom sinks didn’t drain on first use but front desk staff responding promptly. The",4
Steve Murray,Great view but so-so room,"We loved our stay at Pantai Inn. The excellent location is right on the coast in La Jolla, walking distance from great restaurants such as Puesta and Cantania. It is a nice property with great artistic touches and the exceptional staff are friendly and happy to help. Morning room service is very reasonably priced and they have a nice selection of wines so you can enjoy a bottle while watching the sunset from the balcony. As noted in other reviews, the rooms could use an update. Some of the furniture is dated, but it is not unlike living in an older seaside home. I see there are notes from the inn that they have updates planned, which will be welcomed, but I would gladly stay here again whether or not they update the furnishings. I hope they keep all of the great art.",1
kitty32655,Boutique hotel with stunning ocean front views and friendly staff,Unbeatable location. Very pleasant staff. Only thing is outdated. Would likely need a face lift. I feel the location surely makes up for the cosmetic need. Easy checking and out. Very clean overall. I will go their again when in the area.,5
C Pascua,Quaint and clean,"Primary good service. Room was covered by chipped paint, too small single paned window, bird doo on the picture window, rusted bar sink, and a bathroom that you can touch the toilet, sink, and tub from one place. Not worthy of $400 plus per night. And, if you have mobility issues, such as arthritic knees, specify this at time of booking as there is no elevator.",1
Ryan Justin R,Wedding Anniversary ❤️,"The people that works at the front desk are really nice. But the room that we had I believe is 205 ( one of the ocean front room), the living room sofa is really old and I actually don’t feel comfortable sitting on it so I need to placed towels on the sofa. The carpet is old as well, I would prefer wooden floor. The bathroom faucet needs deep cleaning, soap scum! We stayed during the Covid time. We are healthy after our stay but I was a bit afraid. The location is great, but with too many tourists right in front of your door steps. The hotel needs a lot of update. I think I would still prefer staying at Coronado island area. I am sorry to say that I will not come back to this hotel.",5
khnguyen101,Love it!,"As advertised, the room we booked had a great view of the La Jolla Bay. It was centrally located, close to nice restaurants and coastal sights. However, the room was not ready when we arrived in the late afternoon. The staff was apologetic and allowed us to park for free. We were disappointed to learn that breakfast was no longer served due to Covid. Our room was comfortable but the bathroom was very small with no racks to hang our wet towels. During the night we could hear the guests above us walking around.",3
tdo25,I guess “you get what you pay for...?”,"The Pantai Inn is directly across from the beach. We had an ocean front room with balcony (#322) which had a full ocean view (even from the bed). The room had a mini kitchenette (fridge, microwave, coffee maker and faucet) with plenty of counter space and cupboards. There was a table, desk, comfy chairs and a large TV. The bathroom was on the small side, but the decor was very interesting. The hotel staff were very friendly and accommodating. Check in time is 3:00 pm, but we arrived at noon and our room was already ready. The hotel is in a great location! It's about a 5 minute walk to the center of town (Prospect Street) and directly across the street from the beach. I would definitely recommend this hotel!",1
Shinelight932,EXCELLENCE IN LA JOLLA!,"This is our second stay here, and unfortunately due to covid, a few amenities have been halted. When we arrived an hour after check-in, our room was not ready. We missed that the breakfast was cancelled and never had the chance to use the car service to the beaches. We're also celebrating an anniversary, but there were not any special treats to great us as there was on our birthday. We had some trouble with our porch lock, but thankfully the guest service in the office was able to fix it by the second day. The service is friendly and as accommodating as can be during such times. Just learn what their updated amenities are before you book. We'll probably try again next year.",5
vanembry,Amazing Get Away Location and Wonderful Staff!,"Our 7th Wedding Anniversary was simply beautiful. From the breathtaking ocean view, jacuzzi, heart shaped rose pedals on the bed, champagne, dessert, everything in the suite was just wonderful. Pantai Inn made our Anniversary very special. Can’t wait to come back. Also a big thank you to Ashley-very grateful for your hospitality!",1
hotpepperstudio,Bicycle trip in La Jolla,"Pantai Inn is perfect for short day staycations. Cool hotel theme with gorgeous view to the beach. It made me feel like home because it offered a living room and kitchen within the room, which I think is a huge plus compared to other places. The service was beyond outstanding with friendly staff and complementary drinks. The only thing I didn’t expect (but not complaining) was that the room size was quite smaller than the pictures and the amenities were pretty basic. However, I would totally come back, maybe for a weekend getaway, hopefully to get some different cool experiences from here.",4
almadtorr,Best experience by the beach,"It is a beautiful place with an extraordinary location. The gardens are exquisite and the staff is very personable/knowledgeable and mask compliance is high. I figured on staying at Pantai for my first night in CA after a cross country solo drive. What went wrong? I booked the night before from AZ and was warmly welcomed on arrival and perhaps the price $200+ should have been a clue for the last room available. They have a handful of buildings and my room was in the back of the squared off one facing 1) the road; 2) the parking lot; and 3) the stairway in to the building. The furnishings were fine, the bed comfortable but it felt much more monastic than Balinese. Take a look at the photos.",4
shevaschuck,Boutique Hotel in the Best Possible Location,"Excellence in every way! Charming, beachside (across street from sand), like being in a cabin but upgraded, with fireplaces in rooms, so beautifully Balinese! Our 8 year old loved it! We loved it! The Cove access with the seals up close was a short few minutes walk. Literally amazing, don’t need Seaworld! Next day the front desk rep when asking for something, who we had never met, said, Happy Birthday Mrs. E! I was shocked! The communication was amazing! A gem of a hotel...",1
Beth K,Great Location,We had such a wonderful experience the 1st time we had to return. Not only is this a prime location close to everything within walking distance... But the Staff goes out of their way to accommodate you and make sure you are taken care of! Thanks to Taylor and Laurie and their warm smiles and magnetic personality. We will consider this location our home away from home! Thank you for making our experiences so special every single time! God Bless You!,5
Nico L,Falsely advertised and a huge disappointment,"The view from our rooms was amazing. Rooms were spotless. But the staff were the best part. They treated us as special guests, helped us in so many ways, and went WAY out of their way to make our stay easy, including finding a secure place to store our 4 e-bikes and helping with parking.",1
katrinaspitz89,Perfect getaway,I decided to surprise my husband on this beach getaway for his birthday!! And it was just so beautiful! The inn set up the room in such a romantic way that it was sure to be a happy memory for him! He loved everything!,5
SDTraveler2019,Couples night on the beach,"Amazing location- many rooms with incredible direct ocean views. Easy walk to downtown La Jolla restaurants, shops, etc. Pre-covid they do an incredible chef breakfast. Rooms are on the older side, but still very clean and charming. I come to the area regularly for work and stay here every time. I have even brought my 2 kiddos along on occasion for a family trip as the hotel is family-friendly and there is lots to entertain little ones nearby.",3
abrazarlupe,birthday vacation.,Nice boutique hotel. Unable to book a specific room. This was at least my 4th stay and this time I was not able to book a specific studio. We were given the studio right off the street / sidewalk and it felt a bit unsafe and bright with the flood lights at night. I don't think I would stay again unless I could pick a specific studio.,1
Jeremiah G,Excellent Find,I brought my fiance here as a surprise for Valentine's day. I would have rather stayed at a Motel 6. 1. The website said the room had a panoramic Ocean view. This was completely false. It had a sliver of an ocean view from one angle in the room and not an area you would sit or lie. The panoramic view was of the hotel and the constant stream of pedestrian traffic that walked by our window- forcing us to keep the shades draw. No mention of that on the website. 2. The room was positioned right on the street where hippies park their cars and busses and blare psychedelic music for 18 hours of the day. It comes right through the walls so you are forced to hear it and pollutes your space and conversations. The hotel staff was very aware of the nuisance and said it had been a constant,5
Allison S,That bathtub though,"The location was perfect, room Overlooked the beach. You could hear the ocean waves with the doors shut. Service was amazing, room was super clean. Lot of character to this hotel, making it an even better experience",1
SierraMadretravelers,Outstanding location and staff. Needs upgrading.,"Excellent value, very nice service. Great location. Appreciated the free soft drinks and convenient parking. Easy stroll to all of La Jolla. Had a nice stay. Bathroom a bit small, t otherwise everything wise was perfect. Had a nice balcony view of the ocean.",4
sfickenscher,Location location location,"T he beds are so comfortable, the view was amazing. The staff at Pantai inn are always willing to help however they can. The grounds were so clean and well maintained. We missed not having breakfast , Thank You Staff for making our stay so enjoyable",4
cgrosscls,Renewal by the Sea,"Stayed here for a four-day weekend and stayed in a king suite. Wonderful room and friendly service. With COVID, I wanted a room with a dining area for take away orders, which our room had. Very comfortable seating area and nice bed. Within walking distance to plenty of dining options and the coast is right across the street. Also, was able to park right outside our room and check out through the TV in the seating area. Bathroom is also large with three shower options--rain shower head coming from the ceiling, fixed shower head on one wall and handheld shower head on another wall. Good water pressure.",1
mandfcleaning,Beautiful hotel. Amazing views of water,"The photos don't begin to do this place justice. Not only do you get a one bedroom HOUSE all to yourself, you get the most glorious spa tub and dual head standup shower as well! I had my eye on this room for months before staying there and was BLOWN AWAY by this room!",5
GrinGary,Great Hotel,"A friend and I shared a two-bedroom oceanfront room for three nights at the Pantai Inn. We loved the location, the open layout of the living room, dining area with its large round glass table, the kitchen, sun room, and convenient parking by the door. The staff was friendly, helpful, and responsive to our requests. The lobby has complimentary water and soft beverages as well as large long-stemmed wine glasses for guest use. A limited number of good wines are for sale. The outside seating area is inviting with wonderful ocean views. Between mid-May to mid-December pregnant seals and sea lions give birth in a protected cove, a three-minute walk from the Inn. We watched in awe each day as baby seals and sea lions were born. Stairs leading up from the inn lead to La Jolla Village's",1
mattdreese,Beautiful and Beachy.,Perfectly located practically on the beach. Amazing views. Seals to the left. Sea lions to the right. The staff are amazing and it was very clean and safe. The rooms are a bit dated but very large and have everything you need.,5
cindycarolinaortiz75,Excellent stay,"We just finished moving out of our home and needed REST. We stayed for two nights of luxury and renewal at this amazing resort that takes you to a special place to restore mind, body and spirit. YES we will return because it's so magical and the staff is SUPERB!",3
dghardy760,Excellent Beach Front,Beautiful hotel. And the staff was incredible! Checkin was easy. We were not able to go to Resturants but the staff made sure we could order a meal and had it delivered. We only stayed one night but plan to return in the future. Clean and beautiful property,1
Jgrammatic,Didn't Live up to Expectation,"we returned for our second stay at the Pantai Inn. We love the hotel and location and plan to return. We did notice that our room is in need of some minor maintenance and cleaning. I was tempted to take it on myself, but I didn't. Some minor things such as window blinds that no longer operate, bedroom door stop separating from door jam, walls that need a thorough cleaning near bathroom, screws coming loose on the backdoor lock mechanism. All minor things that didn't interfere with our enjoyment, but just some items that should be addressed before they get worse. Overall, a great stay at a great hotel.",5
Chris O,Absolutely miserable!,The staff was incredibly friendly. The location was PERFECT. Walking distance to just about everything. The price was reasonable and can’t wait to make it a yearly event and bring my family to stay again.,1
TBMaxwell,One-night Mini-Moon Stay 9/27,"Rooms were very very clean, cleaning crew is amazing. The take care of every detail in the room. Ladies upfront were very very nice. I loved how we were able to park our cars by our room. Very peaceful .",4
Olga Perez,Best Ocean View,Front desk manager was very accommodating and the view was amazing. The room linens were very soft and I the rooms are very well decorated. But the fire pit really was my favorite area to hangout while it’s got great running areas nearby on the ocean.,4
LoveServeInspire,Best View and Location in La Jolla!,"Unfortunately our experience at the Pantai Inn was not as great as some of these other reviewers. First and foremost we really were expecting more of a luxury hotel but to be honest we found the this place to be just a glorified motel. There is no restaurant or food service . The room itself while large, felt very old and kind of smelled a little bit funky. Extremely overpriced in my opinion. Looking back the best thing by far about our stay was the location which is essentially across the street from the beach, however it was EXTREMELY crowded. Basically you can walk to the beach and all the local tourist attractions from the hotel and that is a big plus. Although the front desk was very friendly and tried to accommodate all our needs it just did not live up to the 5 star",1
randallkaye,Bali meets Southern California,"My wife and I decided to stay at this hotel for two nights based on TripAdvisor reviews. I was skeptical to stay here after looking at the pictures but the reviews won us over. I arrived and was treated very well by the staff. However, when taken to my one bedroom ocean view room I was completely shocked. The room smelled appalling and the place was in very poor condition. I’m a discerning traveler who as been fortunate enough to travel to many beautiful hotels in six continents. I can’t travel internationally because of Covid so we tried La Jolla. I immediately went to reception and offered to leave if I would only be charged for one night not two. The receptionist was very helpful and professional about the situation agreeing to only change for one night. I left the hotel",5
tbe663849,great time,"Overall, I would stay here again! It's beautiful, we were able to park our car within sight of our cottage during our one-night Mini-Honeymoon, and the Sweetheart package upgrade we received (champagne on ice/rose petals in our room etc) was a good value for the price. We also enjoyed complimentary beverages from the lobby cooler during our stay, and a community fire pit that became private due to fewer travelers during coronavirus. Now the not-so good: we arrived in the area at 2pm, fully knowing that check-in as at 3pm. We had no problem at all with waiting, since we were obviously an hour early, but we ran into an issue when the room was not ready by 3pm because frankly, we'd had a long drive, and really really needed to use a bathroom! However, once we were in the room",1
Mamabear,Great Location,"Upon arrival we met w the girl at the front desk and I’m sorry to forget her name but she was such a sweetheart. Management, please know she made our stay that much better because if her sweet and kind demeanor. We stayed in a charming cottage on the Northern part of the property. Adequate space for a small family. Complimentary parking right next to our room which is a huge plus since most times you have to pay an insane fee and don’t have access to you car. This was by far one of the most convenient parts of our stay. The bathroom was very clean but clearly some upgrades need to be completed. The carpets are thick with muck, and might be sand, but that’s the only thing about the interior that bothered me. It’s especially hard when you have a baby who’s crawling. We managed.",5
DON Z,Pantai Inn in La Jolla,"My husband and I enjoyed a beautiful birthday weekend getaway in La Jolla. We loved our room (323) and gorgeous ocean view and balcony! The bed was also very comfortable. When we made our reservation (via phone) there was no mention of breakfast not being served. We were looking forward to this. We know the resort fee was waived, but we believe parking should have been waived as well, or a breakfast voucher given for a nearby restaurant. The Pantai Inn website states parking is complementary for guests, so that should be edited. One other minor detail: room 323 could use some interior paint touch-ups. Overall, we would stay here again for the amazing location.",3
S Moore,Beautiful location,"Awesome place. Right on the water. Great service level. Definitely an oasis. Rooms are clean and staff very accommodating for requests. Covid friendly, definitely feels safe. Wake up to rumbling ocean (and noisy seagulls). All good!",1
treandtaj,Not total 5 Star,"We had a great time, never being in a beach front stay before and we were glad that our first time were with you. The room was very clean, and the bed was very comfortable and cosi with the great comforter. Access to all the restaurants were just a few step away, You made staying in La Jolla a very memorable one. We will be back.",5
